Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,3,Ji'Ayir Brown,87,S,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Penn St.,BrowJi01
2023,3,Jake Moody,99,K,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Michigan,MoodJa00
2023,3,Cameron Latu,101,TE,,0,0,0,,,,,,,,,,,,,,,,Alabama,LatuCa01
2023,5,Darrell Luter,155,CB,,0,0,0,,,,,,,,,,,,,,,,South Alabama,LuteDa00
2023,5,Robert Beal,173,OLB,,0,0,0,,,,,,,,,,,,,,,,Georgia,BealRo00
2023,6,Dee Winters,216,LB,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,TCU,WintDe00
2023,7,Brayden Willis,247,TE,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Oklahoma,WillBr06
2023,7,Ronnie Bell,253,WR,2023,0,0,0,0,8,0,0,0,0,0,,,0,3,31,1,,,Michigan,BellRo01
2023,7,Jalen Graham,255,S,,0,0,0,,,,,,,,,,,,,,,,Purdue,GrahJa02
2022,2,Drake Jackson,61,OLB,2023,0,0,0,2,23,0,0,0,0,0,,,0,,,0,1,6.0,USC,JackDr01
2022,3,Tyrion Davis-Price,93,RB,2023,0,0,0,1,7,0,0,0,0,0,40,120,0,0,0,0,,,LSU,DaviTy03
2022,3,Danny Gray,105,WR,2022,0,0,0,0,13,0,0,0,0,0,1,9,0,1,10,0,,,SMU,GrayDa02
2022,4,Spencer Burford,134,OL,2023,0,0,1,7,24,0,0,0,0,0,,,0,,,0,,,Texas-San Antonio,BurfSp00
2022,5,Samuel Womack,172,CB,2023,0,0,0,2,17,0,0,0,0,0,,,0,,,0,1,,Toledo,WomaSa00
2022,6,Nick Zakelj,187,OL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Fordham,ZakeNi00
2022,6,Kalia Davis,220,DT,,0,0,0,,,,,,,,,,,,,,,,Central Florida,DaviKa01
2022,6,Tariq Castro-Fields,221,CB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Penn St.,CastTa00
2022,7,Brock Purdy,262,QB,2023,0,0,0,6,17,267,394,3407,25,9,48,120,3,,,0,,,Iowa St.,PurdBr00
2021,1,Trey Lance,3,QB,2022,0,0,0,4,8,56,102,797,5,3,54,235,1,,,0,,,North Dakota St.,LancTr00
2021,2,Aaron Banks,48,OL,2023,0,0,1,8,33,0,0,0,0,0,,,0,,,0,,,Notre Dame,BankAa00
2021,3,Trey Sermon,88,RB,2023,0,0,0,1,18,0,0,0,0,0,51,210,1,4,30,0,,,Ohio St.,SermTr00
2021,3,Ambry Thomas,102,DB,2023,0,0,0,3,34,0,0,0,0,0,,,0,,,0,1,,Michigan,ThomAm00
2021,5,Jaylon Moore,155,T,2023,0,0,0,4,32,0,0,0,0,0,,,0,,,0,,,Western Michigan,MoorJa04
2021,5,Deommodore Lenoir,172,CB,2023,0,0,1,6,38,0,0,0,0,0,,,0,,,0,3,1.0,Oregon,LenoDe00
