Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Darnell Wright,10,OL,2023,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Tennessee,WrigDa00
2023,2,Gervon Dexter,53,DL,2023,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Florida,DextGe00
2023,2,Tyrique Stevenson,56,CB,2023,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Miami (FL),StevTy01
2023,3,Zacch Pickens,64,DL,2023,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,0.5,South Carolina,PickZa00
2023,4,Roschon Johnson,115,RB,2023,0,0,0,0,8,0,0,0,0,0,38,167,1,19,91,0,,,Texas,JohnRo07
2023,4,Tyler Scott,133,WR,2023,0,0,0,0,10,0,0,0,0,0,6,44,0,9,77,0,,,Cincinnati,ScotTy00
2023,5,Noah Sewell,148,LB,2023,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Oregon,SeweNo00
2023,5,Terell Smith,165,DB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Minnesota,SmitTe05
2023,7,Travis Bell,218,DL,,0,0,0,,,,,,,,,,,,,,,,Kennesaw St.,BellTr01
2023,7,Kendall Williamson,258,S,,0,0,0,,,,,,,,,,,,,,,,Stanford,WillKe07
2022,2,Kyler Gordon,39,CB,2023,0,0,1,4,20,0,0,0,0,0,,,0,,,0,3,,Washington,GordKy00
2022,2,Jaquan Brisker,48,S,2023,0,0,1,4,23,0,0,0,0,0,,,0,,,0,1,4.5,Penn St.,BrisJa01
2022,3,Velus Jones Jr.,71,WR,2023,0,0,0,2,20,0,0,0,0,0,13,125,1,10,116,1,,,Tennessee,JoneVe00
2022,5,Braxton Jones,168,OL,2023,0,0,1,8,21,0,0,0,0,0,,,0,,,0,,,Southern Utah,JoneBr08
2022,5,Dominique Robinson,174,DE,2023,0,0,0,3,24,0,0,0,0,0,,,0,,,0,,2.0,Miami (OH),RobiDo00
2022,6,Zachary Thomas,186,OL,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,San Diego St.,ThomZa04
2022,6,Trestan Ebner,203,RB,2022,0,0,0,0,17,0,0,0,0,0,24,54,0,2,8,0,,,Baylor,EbneTr00
2022,6,Doug Kramer,207,OL,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Illinois,KramDo00
2022,7,Ja'Tyre Carter,226,OL,2023,0,0,0,0,12,0,0,0,0,0,,,0,,,0,,,Southern,CartJa04
2022,7,Elijah Hicks,254,S,2023,0,0,0,1,25,0,0,0,0,0,,,0,,,0,,,California,HickEl00
