Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Myles Murphy,28,DE,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,1.0,Clemson,MurpMy00
2023,2,DJ Turner,60,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Michigan,TurnDJ01
2023,3,Jordan Battle,95,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Alabama,BattJo00
2023,4,Charlie Jones,131,WR,2023,0,0,0,0,3,0,0,0,0,0,,,0,1,6,0,,,Purdue,JoneCh11
2023,5,Chase Brown,163,RB,2023,0,0,0,0,5,0,0,0,0,0,2,6,0,3,7,0,,,Illinois,BrowCh10
2023,6,Andrei Iosivas,206,WR,2023,0,0,0,0,8,0,0,0,0,0,,,0,4,23,2,,,Princeton,IosiAn00
2023,6,Brad Robbins,217,P,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Michigan,RobbBr00
2023,7,DJ Ivey,246,CB,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Miami (FL),IveyDJ00
2022,1,Daxton Hill,31,DB,2023,0,0,0,2,23,0,0,0,0,0,,,0,,,0,2,1.5,Michigan,HillDa04
2022,2,Cam Taylor-Britt,60,CB,2023,0,0,1,4,18,0,0,0,0,0,,,0,,,0,3,,Nebraska,TaylCa01
2022,3,Zachary Carter,95,DE,2023,0,0,1,5,24,0,0,0,0,0,,,0,,,0,,0.5,Florida,CartZa00
2022,4,Cordell Volson,136,T,2023,0,0,1,9,24,0,0,0,0,0,,,0,,,0,,,North Dakota St.,VolsCo02
2022,5,Tycen Anderson,166,S,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Toledo,AndeTy00
2022,7,Jeff Gunter,252,OLB,2022,0,0,0,1,10,0,0,0,0,0,,,0,,,0,,,Coastal Carolina,GuntJe01
2021,1,Ja'Marr Chase,5,WR,2023,0,2,2,23,37,0,0,0,0,0,15,23,0,232,3198,26,,,LSU,ChasJa00
2021,2,Jackson Carman,46,T,2023,0,0,0,4,21,0,0,0,0,0,,,0,,,0,,,Clemson,CarmJa00
2021,3,Joseph Ossai,69,LB,2023,0,0,0,3,22,0,0,0,0,0,,,0,,,0,,3.5,Texas,OssaJo00
2021,4,Cameron Sample,111,DE,2023,0,0,0,3,38,0,0,0,0,0,,,0,,,0,,4.5,Tulane,SampCa00
2021,4,Tyler Shelvin,122,DT,2022,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,LSU,ShelTy00
2021,4,D'Ante Smith,139,T,2022,0,0,0,1,3,0,0,0,0,0,,,0,,,0,,,East Carolina,SmitDA03
2021,5,Evan McPherson,149,K,2023,0,0,1,7,40,0,0,0,0,0,,,0,,,0,,,Florida,McPhEv00
2021,6,Trey Hill,190,OL,2022,0,0,0,3,24,0,0,0,0,0,,,0,,,0,,,Georgia,HillTr03
2021,6,Chris Evans,202,RB,2023,0,0,0,2,32,0,0,0,0,0,19,89,0,19,188,3,,,Michigan,EvanCh02
2021,7,Wyatt Hubert,235,DE,,0,0,0,,,,,,,,,,,,,,,,Kansas St.,HubeWy00
2020,1,Joe Burrow,1,QB,2023,0,1,3,38,50,1250,1838,13635,94,35,177,578,10,,,0,,,LSU,BurrJo01
2020,2,Tee Higgins,33,WR,2023,0,0,3,26,53,0,0,0,0,0,5,28,0,242,3356,21,,,Clemson,HiggTe00
2020,3,Logan Wilson,65,LB,2023,0,0,2,17,48,0,0,0,0,0,,,0,,,0,10,5.0,Wyoming,WilsLo00
2020,4,Akeem Davis-Gaither,107,LB,2023,0,0,0,5,45,0,0,0,0,0,,,0,,,0,1,0.5,Appalachian St.,DaviAk01
2020,5,Khalid Kareem,147,DE,2023,0,0,0,2,28,0,0,0,0,0,,,0,,,0,,1.0,Notre Dame,KareKh00
2020,6,Hakeem Adeniji,180,T,2023,0,0,0,9,40,0,0,0,0,0,,,0,,,0,,,Kansas,AdenHa00
2020,7,Markus Bailey,215,LB,2023,0,0,0,6,51,0,0,0,0,0,,,0,,,0,,0.5,Purdue,BailMa01
2019,1,Jonah Williams,11,G,2023,0,0,3,23,50,0,0,0,0,0,,,0,,,0,,,Alabama,WillJo10
2019,2,Drew Sample,52,TE,2023,0,0,1,4,52,0,0,0,0,0,,,0,64,498,2,,,Washington,SampDr00
2019,3,Germaine Pratt,72,LB,2023,0,0,4,27,70,0,0,0,0,0,,,0,,,0,5,2.5,North Carolina St.,PratGe00
2019,4,Ryan Finley,104,QB,2020,0,0,0,2,8,58,119,638,3,4,21,143,1,,,0,,,North Carolina St.,FinlRy00
2019,4,Renell Wren,125,DT,2022,0,0,0,2,13,0,0,0,0,0,,,0,,,0,,,Arizona St.,WrenRe00
2019,4,Michael Jordan,136,G,2022,0,0,2,11,55,0,0,0,0,0,,,0,,,0,,,Ohio St.,JordMi01
2019,6,Trayveon Williams,182,RB,2023,0,0,0,2,42,0,0,0,0,0,57,277,0,12,71,0,,,Texas A&M,WillTr06
2019,6,Deshaun Davis,210,LB,,0,0,0,,,,,,,,,,,,,,,,Auburn,DaviDe01
2019,6,Rodney Anderson,211,RB,,0,0,0,,,,,,,,,,,,,,,,Oklahoma,AndeRo02
2019,7,Jordan Brown,223,CB,,0,0,0,,,,,,,,,,,,,,,,South Dakota St.,BrowJo04
2018,1,Billy Price,21,C,2022,0,0,3,18,69,0,0,0,0,0,,,0,,,0,,,Ohio St.,PricBi01
2018,2,Jessie Bates III,54,S,2023,0,0,5,32,88,0,0,0,0,0,,,0,,,0,17,,Wake Forest,BateJe00
2018,3,Sam Hubbard,77,DE,2023,0,0,4,30,83,0,0,0,0,0,,,0,0,0,0,,34.5,Ohio St.,HubbSa00
2018,3,Malik Jefferson,78,OLB,2023,0,0,0,3,38,0,0,0,0,0,,,0,,,0,,,Texas,JeffMa00
2018,4,Mark Walton,112,RB,2019,0,0,0,3,21,0,0,0,0,0,67,235,0,20,130,0,,,Miami (FL),WaltMa00
2018,5,Davontae Harris,151,CB,2022,0,0,0,5,42,0,0,0,0,0,,,0,,,0,,,Illinois St.,HarrDa05
2018,5,Andrew Brown,158,DE,2022,0,0,0,2,28,0,0,0,0,0,,,0,,,0,,1.0,Virginia,BrowAn05
2018,5,Darius Phillips,170,CB,2022,0,0,1,7,56,0,0,0,0,0,,,0,,,0,5,,Western Michigan,PhilDa02
2018,7,Logan Woodside,249,QB,2022,0,0,0,0,12,1,3,7,0,0,13,4,0,,,0,,,Toledo,WoodLo00
2018,7,Rod Taylor,252,G,,0,0,0,,,,,,,,,,,,,,,,Mississippi,TaylRo01
2018,7,Auden Tate,253,WR,2021,0,0,1,5,35,0,0,0,0,0,,,0,61,799,2,,,Florida St.,TateAu00
2017,1,John Ross,9,WR,2021,0,0,1,7,37,0,0,0,0,0,9,41,0,62,957,11,,,Washington,RossJo00
2017,2,Joe Mixon,48,RB,2023,0,1,4,42,88,0,0,0,0,0,1440,5868,43,255,1921,10,,,Oklahoma,MixoJo00
2017,3,Jordan Willis,73,OLB,2022,0,0,0,8,69,0,0,0,0,0,,,0,,,0,,10.5,Kansas St.,WillJo09
