Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Dalton Kincaid,25,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,40,339,1,,,Utah,KincDa00
2023,2,O'Cyrus Torrence,59,OL,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Florida,TorrOC00
2023,3,Dorian Williams,91,LB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Tulane,WillDo04
2023,5,Justin Shorter,150,WR,,0,0,0,,,,,,,,,,,,,,,,Florida,ShorJu00
2023,7,Nick Broeker,230,OL,,0,0,0,,,,,,,,,,,,,,,,Mississippi,BroeNi00
2023,7,Alex Austin,252,DB,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Oregon St.,AustAl00
2022,1,Kaiir Elam,23,CB,2023,0,0,0,3,16,0,0,0,0,0,,,0,,,0,2,,Florida,ElamKa00
2022,2,James Cook,63,RB,2023,0,0,0,5,25,0,0,0,0,0,197,1013,3,43,391,2,,,Georgia,CookJa01
2022,3,Terrel Bernard,89,LB,2023,0,0,0,2,25,0,0,0,0,0,,,0,,,0,2,2.0,Baylor,BernTe00
2022,5,Khalil Shakir,148,WR,2023,0,0,0,2,23,0,0,0,0,0,,,0,28,385,2,,,Boise St.,ShakKh00
2022,6,Matt Araiza,180,P,,0,0,0,,,,,,,,,,,,,,,,San Diego St.,AraiMa00
2022,6,Christian Benford,185,DB,2023,0,0,0,2,17,0,0,0,0,0,,,0,,,0,1,,Villanova,BenfCh00
2022,6,Luke Tenuta,209,OL,2022,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Virginia Tech,TenuLu00
2022,7,Baylon Spector,231,LB,2023,0,0,0,1,8,0,0,0,0,0,,,0,,,0,,,Clemson,SpecBa00
2021,1,Gregory Rousseau,30,DL,2023,0,0,2,17,38,0,0,0,0,0,,,0,,,0,1,15.0,Miami (FL),RousGr00
2021,2,Boogie Basham,61,DL,2023,0,0,0,3,32,0,0,0,0,0,,,0,,,0,1,4.5,Wake Forest,BashCa00
2021,3,Spencer Brown,93,OL,2023,0,0,1,15,36,0,0,0,0,0,,,0,,,0,,,Northern Iowa,BrowSp00
2021,5,Tommy Doyle,161,OL,2022,0,0,0,1,12,0,0,0,0,0,,,0,,,0,,,Miami (OH),DoylTo00
2021,6,Marquez Stevenson,203,WR,2021,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Houston,StevMa00
2021,6,Damar Hamlin,212,DB,2023,0,0,1,6,30,0,0,0,0,0,,,0,,,0,,1.5,Pittsburgh,HamlDa00
2021,6,Rachad Wildgoose,213,CB,2022,0,0,0,2,20,0,0,0,0,0,,,0,,,0,,,Wisconsin,WildRa00
2021,7,Jack Anderson,236,OL,2022,0,0,0,2,14,0,0,0,0,0,,,0,,,0,,,Texas Tech,AndeJa01
2020,2,A.J. Epenesa,54,DE,2023,0,0,0,6,52,0,0,0,0,0,,,0,,,0,1,14.0,Iowa,EpenAJ00
2020,3,Zack Moss,86,RB,2023,0,0,0,10,47,0,0,0,0,0,433,1897,14,64,454,3,,,Utah,MossZa00
2020,4,Gabriel Davis,128,WR,2023,0,0,2,19,56,0,0,0,0,0,2,-2,0,149,2418,25,,,Central Florida,DaviGa01
2020,5,Jake Fromm,167,QB,2021,0,0,0,1,3,27,60,210,1,3,8,65,0,,,0,,,Georgia,FromJa00
2020,6,Tyler Bass,188,K,2023,0,0,1,9,58,0,0,0,0,0,,,0,,,0,,,Georgia Southern,BassTy00
2020,6,Isaiah Hodgins,207,WR,2023,0,0,0,3,20,0,0,0,0,0,,,0,49,512,5,,,Oregon St.,HodgIs00
2020,7,Dane Jackson,239,CB,2023,0,0,1,10,45,0,0,0,0,0,,,0,,,0,3,,Pittsburgh,JackDa02
2019,1,Ed Oliver,9,DT,2023,0,0,3,29,70,0,0,0,0,0,,,0,,,0,,19.5,Houston,OlivEd00
2019,2,Cody Ford,38,T,2023,0,0,1,15,57,0,0,0,0,0,,,0,,,0,,,Oklahoma,FordCo00
2019,3,Devin Singletary,74,RB,2023,0,0,4,28,69,1,1,6,1,0,734,3360,16,154,1013,4,,,Florida Atlantic,SingDe00
2019,3,Dawson Knox,96,TE,2023,0,1,4,16,64,0,0,0,0,0,1,13,0,164,1882,21,,,Mississippi,KnoxDa00
2019,5,Vosean Joseph,147,LB,,0,0,0,,,,,,,,,,,,,,,,Florida,JoseVo00
2019,6,Jaquan Johnson,181,CB,2022,0,0,0,5,60,1,1,13,0,0,,,0,,,0,2,,Miami (FL),JohnJa11
2019,7,Darryl Johnson,225,DE,2022,0,0,0,4,38,0,0,0,0,0,,,0,,,0,,2.0,North Carolina A&T,JohnDa10
2019,7,Tommy Sweeney,228,TE,2022,0,0,0,1,24,0,0,0,0,0,,,0,18,165,1,,,Boston Col.,SweeTo00
2018,1,Josh Allen,7,QB,2023,0,3,5,68,86,1835,2890,20820,156,69,590,3320,44,1,12,1,,,Wyoming,AlleJo02
2018,1,Tremaine Edmunds,16,ILB,2023,0,2,5,45,82,0,0,0,0,0,,,0,,,0,6,6.5,Virginia Tech,EdmuTr01
2018,3,Harrison Phillips,96,DT,2023,0,0,1,16,71,0,0,0,0,0,,,0,,,0,,5.0,Stanford,PhilHa00
2018,4,Taron Johnson,121,CB,2023,0,0,4,19,80,0,0,0,0,0,,,0,,,0,4,7.0,Weber St.,JohnTa01
2018,5,Siran Neal,154,CB,2023,0,0,0,5,89,0,0,0,0,0,,,0,1,13,0,,1.0,Jacksonville St.,NealSi00
2018,5,Wyatt Teller,166,G,2023,0,2,4,29,74,0,0,0,0,0,,,0,1,-5,0,,,Virginia Tech,TellWy00
2018,6,Ray-Ray McCloud,187,WR,2023,0,0,0,6,73,0,0,0,0,0,14,185,1,86,723,1,,,Clemson,McClRa00
2018,7,Austin Proehl,255,WR,,0,0,0,,,,,,,,,,,,,,,,North Carolina,ProeAu00
2017,1,Tre'Davious White,27,CB,2023,1,2,5,46,82,0,0,0,0,0,,,0,,,0,18,3.0,LSU,WhitTr01
2017,2,Zay Jones,37,WR,2023,0,0,3,22,98,1,2,29,0,0,8,24,0,261,2785,18,,,East Carolina,JoneZa00
2017,2,Dion Dawkins,63,G,2023,0,2,6,45,104,0,0,0,0,0,,,0,2,8,2,,,Temple,DawkDi00
2017,5,Matt Milano,163,LB,2023,1,1,4,50,90,0,0,0,0,0,,,0,,,0,10,10.5,Boston Col.,MilaMa00
2017,5,Nathan Peterman,171,QB,2023,0,0,0,3,14,85,160,712,4,13,24,87,1,,,0,,,Pittsburgh,PeteNa00
2017,6,Tanner Vallejo,195,LB,2022,0,0,0,7,82,0,0,0,0,0,,,0,,,0,,2.5,Boise St.,VallTa00
2016,1,Shaq Lawson,19,DE,2023,0,0,1,22,101,0,0,0,0,0,,,0,,,0,1,25.0,Clemson,LawsSh00
2016,2,Reggie Ragland,41,ILB,2022,0,0,3,22,79,0,0,0,0,0,,,0,,,0,1,3.5,Alabama,RaglRe00
2016,3,Adolphus Washington,80,DT,2018,0,0,2,9,35,0,0,0,0,0,,,0,,,0,,4.5,Ohio St.,WashAd00
2016,4,Cardale Jones,139,QB,2016,0,0,0,0,1,6,11,96,0,1,1,-1,0,,,0,,,Ohio St.,JoneCa01
2016,5,Jonathan Williams,156,RB,2022,0,0,0,5,46,0,1,0,0,0,134,565,3,22,149,0,,,Arkansas,WillJo07
2016,6,Kolby Listenbee,192,WR,,0,0,0,,,,,,,,,,,,,,,,TCU,ListKo00
