Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,2,Marvin Mims,63,WR,2023,0,0,0,0,8,0,0,0,0,0,4,2,0,11,246,1,,,Oklahoma,MimsMa00
2023,3,Drew Sanders,67,LB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Arkansas,SandDr00
2023,3,Riley Moss,83,DB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Iowa,MossRi00
2023,6,JL Skinner,183,S,,0,0,0,,,,,,,,,,,,,,,,Boise St.,SkinJL00
2023,7,Alex Forsyth,257,OL,,0,0,0,,,,,,,,,,,,,,,,Oregon,ForsAl00
2022,2,Nik Bonitto,64,OLB,2023,0,0,0,2,23,0,0,0,0,0,,,0,,,0,,7.0,Oklahoma,BoniNi00
2022,3,Greg Dulcich,80,TE,2023,0,0,0,3,12,0,0,0,0,0,,,0,36,436,2,,,UCLA,DulcGr00
2022,4,Damarri Mathis,115,DB,2023,0,0,1,4,24,0,0,0,0,0,,,0,,,0,,,Pittsburgh,MathDa00
2022,4,Eyioma Uwazurike,116,DE,2022,0,0,0,1,8,0,0,0,0,0,,,0,,,0,,,Iowa St.,UwazEy00
2022,5,Delarrin Turner-Yell,152,S,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,,,Oklahoma,TurnDe02
2022,5,Montrell Washington,162,WR,2023,0,0,0,0,19,0,0,0,0,0,5,30,0,4,2,0,,,Samford,WashMo00
2022,5,Luke Wattenberg,171,OL,2023,0,0,0,1,14,0,0,0,0,0,,,0,,,0,,,Washington,WattLu00
2022,6,Matt Henningsen,206,DE,2023,0,0,0,1,25,0,0,0,0,0,,,0,,,0,,1.0,Wisconsin,HennMa01
2022,7,Faion Hicks,232,CB,2022,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Wisconsin,HickFa00
2021,1,Patrick Surtain II,9,DB,2023,1,1,2,21,41,0,0,0,0,0,,,0,,,0,7,,Alabama,SurtPa01
2021,2,Javonte Williams,35,RB,2023,0,0,0,9,28,0,0,0,0,0,340,1464,4,76,470,4,,,North Carolina,WillJa10
2021,3,Quinn Meinerz,98,C,2023,0,0,1,8,36,0,0,0,0,0,,,0,,,0,,,Wisconsin–Whitewater,MeinQu02
2021,3,Baron Browning,105,LB,2023,0,0,0,11,30,0,0,0,0,0,,,0,,,0,1,7.0,Ohio St.,BrowBa01
2021,5,Caden Sterns,152,DB,2023,0,0,0,3,21,0,0,0,0,0,,,0,,,0,4,2.0,Texas,SterCa00
2021,5,Jamar Johnson,164,DB,2021,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Indiana,JohnJa15
2021,6,Seth Williams,219,WR,2021,0,0,0,0,2,0,0,0,0,0,,,0,1,34,0,,,Auburn,WillSe00
2021,7,Kary Vincent Jr.,237,CB,2021,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,LSU,VincKa00
2021,7,Jonathon Cooper,239,DE,2023,0,0,1,9,38,0,0,0,0,0,,,0,,,0,,9.0,Ohio St.,CoopJo02
2021,7,Marquiss Spencer,253,DE,2021,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Mississippi St.,SpenMa00
2020,1,Jerry Jeudy,15,WR,2023,0,0,2,16,48,0,0,0,0,0,6,43,0,184,2631,10,,,Alabama,JeudJe00
2020,2,KJ Hamler,46,WR,2022,0,0,0,5,23,0,0,0,0,0,11,63,0,42,620,3,,,Penn St.,HamlKJ00
2020,3,Michael Ojemudia,77,CB,2022,0,0,0,4,22,0,0,0,0,0,,,0,,,0,,,Iowa,OjemMi00
2020,3,Lloyd Cushenberry III,83,C,2023,0,0,2,15,48,0,0,0,0,0,,,0,,,0,,,LSU,CushLl00
2020,3,McTelvin Agim,95,DT,2023,0,0,0,2,18,0,0,0,0,0,,,0,,,0,,1.5,Arkansas,AgimMc00
2020,4,Albert Okwuegbunam,118,TE,2023,0,0,0,5,27,0,0,0,0,0,,,0,54,546,4,,,Missouri,OkwuAl00
2020,5,Justin Strnad,178,LB,2023,0,0,0,4,41,0,0,0,0,0,,,0,,,0,,,Wake Forest,StrnJu00
2020,6,Netane Muti,181,G,2023,0,0,0,3,22,0,0,0,0,0,,,0,,,0,,,Fresno St.,MutiNe00
2020,7,Tyrie Cleveland,252,WR,2022,0,0,0,0,23,0,0,0,0,0,,,0,8,91,0,,,Florida,ClevTy00
2020,7,Derrek Tuszka,254,LB,2022,0,0,0,3,39,0,0,0,0,0,,,0,,,0,,2.0,North Dakota St.,TuszDe00
2019,1,Noah Fant,20,TE,2023,0,0,4,18,72,0,0,0,0,0,3,-12,0,234,2617,14,,,Iowa,FantNo00
2019,2,Dalton Risner,41,T,2023,0,0,4,21,69,0,0,0,0,0,,,0,,,0,,,Kansas St.,RisnDa00
2019,2,Drew Lock,42,QB,2023,0,0,1,12,25,423,716,4803,25,20,73,296,5,1,1,0,,,Missouri,LockDr00
2019,3,Dre'Mont Jones,71,DT,2023,0,0,2,18,64,0,0,0,0,0,,,0,,,0,1,24.0,Ohio St.,JoneDr00
2019,5,Justin Hollins,156,LB,2023,0,0,0,8,60,0,0,0,0,0,,,0,,,0,,9.5,Oregon,HollJu00
2019,6,Juwann Winfree,187,WR,2023,0,0,0,1,21,0,0,0,0,0,,,0,9,75,0,,,Colorado,WinfJu00
2018,1,Bradley Chubb,5,DE,2023,0,2,2,29,66,0,0,0,0,0,,,0,,,0,1,34.5,North Carolina St.,ChubBr00
2018,2,Courtland Sutton,40,WR,2023,0,1,3,24,73,2,2,54,0,0,5,21,0,272,3867,20,,,SMU,SuttCo00
2018,3,Royce Freeman,71,RB,2023,0,0,0,11,71,0,0,0,0,0,427,1615,9,85,519,1,,,Oregon,FreeRo00
2018,3,Isaac Yiadom,99,CB,2023,0,0,2,10,79,0,0,0,0,0,,,0,,,0,2,0.5,Boston Col.,YiadIs00
2018,4,Josey Jewell,106,ILB,2023,0,0,3,23,69,0,0,0,0,0,,,0,,,0,2,6.0,Iowa,JeweJo00
2018,4,DaeSean Hamilton,113,WR,2020,0,0,0,6,46,0,0,0,0,0,,,0,81,833,5,,,Penn St.,HamiDa01
2018,5,Troy Fumagalli,156,TE,2020,0,0,0,1,19,0,0,0,0,0,,,0,14,118,2,,,Wisconsin,FumaTr00
2018,6,Sam Jones,183,G,2018,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Arizona St.,JoneSa00
2018,6,Keishawn Bierria,217,ILB,2019,0,0,0,1,21,0,0,0,0,0,,,0,,,0,,,Washington,BierKe00
2018,7,David Williams,226,RB,2018,0,0,0,0,6,0,0,0,0,0,8,36,0,,,0,,,Arkansas,WillDa011
2017,1,Garett Bolles,20,T,2023,0,0,5,34,90,0,0,0,0,0,,,0,,,0,,,Utah,BollGa00
2017,2,DeMarcus Walker,51,DE,2023,0,0,0,12,76,0,0,0,0,0,,,0,,,0,,21.0,Florida St.,WalkDe03
2017,3,Carlos Henderson,82,WR,,0,0,0,,,,,,,,,,,,,,,,Louisiana Tech,HendCa01
2017,3,Brendan Langley,101,CB,2018,0,0,0,1,16,0,0,0,0,0,,,0,,,0,,,Lamar,LangBr00
2017,5,Jake Butt,145,TE,2020,0,0,0,1,8,0,0,0,0,0,,,0,10,90,0,,,Michigan,ButtJa00
2017,5,Isaiah McKenzie,172,WR,2023,0,0,2,14,89,1,1,12,1,0,49,241,4,148,1396,11,,,Georgia,McKeIs00
2017,6,De'Angelo Henderson,203,RB,2018,0,0,0,0,8,0,0,0,0,0,9,32,0,2,36,1,,,Coastal Carolina,HendDe01
2017,7,Chad Kelly,253,QB,2018,0,0,0,0,1,0,0,0,0,0,1,-1,0,,,0,,,Mississippi,KellCh00
2016,1,Paxton Lynch,26,QB,2017,0,0,0,2,5,79,128,792,4,4,16,55,0,,,0,,,Memphis,LyncPa00
2016,2,Adam Gotsis,63,DT,2023,0,0,3,24,112,0,0,0,0,0,,,0,,,0,,9.5,Georgia Tech,GotsAd00
2016,3,Justin Simmons,98,S,2023,0,1,6,50,109,0,0,0,0,0,,,0,,,0,29,3.5,Boston Col.,SimmJu00
2016,4,Devontae Booker,136,RB,2021,0,0,0,19,93,0,0,0,0,0,527,2119,11,162,1224,2,,,Utah,BookDe00
2016,5,Connor McGovern,144,G,2023,0,0,5,28,102,0,0,0,0,0,,,0,,,0,,,Missouri,McGoCo00
2016,6,Andy Janovich,176,FB,2021,0,0,1,2,77,0,0,0,0,0,17,55,4,27,255,1,,,Nebraska,JanoAn00
2016,6,Will Parks,219,S,2022,0,0,0,11,90,0,0,0,0,0,,,0,,,0,4,2.0,Arizona,ParkWi01
2016,7,Riley Dixon,228,P,2023,0,0,1,13,122,3,5,34,0,0,1,14,0,,,0,,,Syracuse,DixoRi00
2015,1,Shane Ray,23,DE,2018,0,0,1,12,49,0,0,0,0,0,,,0,,,0,,14.0,Missouri,RayxSh00
2015,2,Ty Sambrailo,59,T,2021,0,0,0,14,71,0,0,0,0,0,,,0,1,35,1,,,Colorado St.,SambTy00
2015,3,Jeff Heuerman,92,TE,2019,0,0,3,5,51,0,0,0,0,0,,,0,63,678,5,,,Ohio St.,HeueJe00
2015,4,Max Garcia,133,C,2023,0,0,3,25,114,0,0,0,0,0,,,0,,,0,,,Florida,GarcMa00
2015,5,Lorenzo Doss,164,CB,2018,0,0,0,0,16,0,0,0,0,0,,,0,,,0,,,Tulane,DossLo00
2015,6,Darius Kilgo,203,NT,2018,0,0,0,3,29,0,0,0,0,0,,,0,,,0,,,Maryland,KilgDa01
2015,7,Trevor Siemian,250,QB,2022,0,0,2,17,35,621,1055,7027,42,28,73,211,2,,,0,,,Northwestern,SiemTr00
2015,7,Taurean Nixon,251,DB,2016,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Tulane,NixoTa00
2015,7,Josh Furman,252,DB,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.,FurmJo00
2014,1,Bradley Roby,31,DB,2023,0,0,4,25,128,0,0,0,0,0,,,0,,,0,11,5.0,Ohio St.,RobyBr00
2014,2,Cody Latimer,56,WR,2019,0,0,1,6,66,0,0,0,0,0,2,1,0,70,935,6,,,Indiana,LatiCo00
2014,3,Michael Schofield,95,OL,2022,0,0,5,38,113,0,0,0,0,0,,,0,,,0,,,Michigan,SchoMi00
2014,5,Lamin Barrow,156,LB,2015,0,0,0,2,32,0,0,0,0,0,,,0,,,0,,,LSU,BarrLa00
2014,6,Matt Paradis,207,OL,2021,0,0,6,34,98,0,0,0,0,0,,,0,,,0,,,Boise St.,ParaMa00
2014,7,Corey Nelson,242,LB,2019,0,0,0,8,61,0,0,0,0,0,,,0,,,0,,1.0,Oklahoma,NelsCo00
2013,1,Sylvester Williams,28,DT,2020,0,0,4,29,102,0,0,0,0,0,,,0,,,0,,5.5,North Carolina,WillSy00
2013,2,Montee Ball,58,RB,2014,0,0,0,7,21,0,0,0,0,0,175,731,5,29,207,0,,,Wisconsin,BallMo00
2013,3,Kayvon Webster,90,DB,2019,0,0,1,9,69,0,0,0,0,0,,,0,,,0,2,,South Florida,WebsKa00
2013,5,Quanterus Smith,146,DE,2014,0,0,0,1,15,0,0,0,0,0,,,0,,,0,,,Western Kentucky,SmitQu00
2013,5,Tavarres King,161,WR,2017,0,0,0,2,17,0,0,0,0,0,2,3,0,22,303,3,,,Georgia,KingTa00
2013,6,Vinston Painter,173,G,2017,0,0,0,0,14,0,0,0,0,0,,,0,,,0,,,Virginia Tech,PainVi00
