Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,3,Cedric Tillman,74,WR,2023,0,0,0,0,5,0,0,0,0,0,,,0,2,8,0,,,Tennessee,TillCe01
2023,3,Siaki Ika,98,DL,,0,0,0,,,,,,,,,,,,,,,,Baylor,IkaxSi00
2023,4,Dawand Jones,111,OL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Ohio St.,JoneDa07
2023,4,Isaiah McGuire,126,DL,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Missouri,McGuIs00
2023,5,Dorian Thompson-Robinson,140,QB,2023,0,0,0,0,3,20,37,130,0,3,4,24,0,,,0,,,UCLA,ThomDo02
2023,5,Cameron Mitchell,142,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Northwestern,MitcCa01
2023,6,Luke Wypler,190,OL,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Ohio St.,WyplLu00
2022,3,Martin Emerson,68,CB,2023,0,0,0,2,25,0,0,0,0,0,,,0,,,0,2,1.0,Mississippi St.,EmerMa00
2022,3,Alex Wright,78,DE,2023,0,0,0,3,24,0,0,0,0,0,,,0,,,0,,1.0,Ala-Birmingham,WrigAl01
2022,3,David Bell,99,WR,2023,0,0,0,2,23,0,0,0,0,0,,,0,28,247,0,,,Purdue,BellDa02
2022,4,Perrion Winfrey,108,DT,2022,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,0.5,Oklahoma,WinfPe00
2022,4,Cade York,124,K,2022,0,0,1,1,17,0,0,0,0,0,,,0,,,0,,,LSU,YorkCa00
2022,5,Jerome Ford,156,RB,2023,0,0,0,0,21,0,0,0,0,0,115,437,2,20,139,2,,,Cincinnati,FordJe00
2022,6,Michael Woods II,202,WR,2022,0,0,0,0,10,0,0,0,0,0,1,-5,0,5,45,0,,,Oklahoma,WoodMi00
2022,7,Isaiah Thomas,223,DE,2022,0,0,0,1,10,0,0,0,0,0,,,0,,,0,,1.0,Oklahoma,ThomIs01
2022,7,Dawson Deaton,246,OL,,0,0,0,,,,,,,,,,,,,,,,Texas Tech,DeatDa00
2021,1,Greg Newsome II,26,DB,2023,0,0,2,7,33,0,0,0,0,0,,,0,,,0,,0.5,Northwestern,NewsGr00
2021,2,Jeremiah Owusu-Koramoah,52,LB,2023,0,0,1,8,33,0,0,0,0,0,,,0,,,0,,2.5,Notre Dame,OwusJe00
2021,3,Anthony Schwartz,91,WR,2022,0,0,0,2,25,0,0,0,0,0,10,96,1,14,186,1,,,Auburn,SchwAn00
2021,4,James Hudson,110,OL,2023,0,0,0,4,36,0,0,0,0,0,,,0,,,0,,,Cincinnati,HudsJa00
2021,4,Tommy Togiai,132,DT,2022,0,0,0,2,18,0,0,0,0,0,,,0,,,0,,1.0,Ohio St.,TogiTo00
2021,5,Tony Fields,153,LB,2023,0,0,0,5,35,0,0,0,0,0,,,0,,,0,1,,West Virginia,FielTo00
2021,5,Richard LeCounte,169,DB,2022,0,0,0,1,10,0,0,0,0,0,,,0,,,0,,,Georgia,LeCoRi00
2021,6,Demetric Felton,211,RB,2022,0,0,0,2,24,0,0,0,0,0,8,20,0,20,189,2,,,UCLA,FeltDe00
2020,1,Jedrick Wills Jr.,10,T,2023,0,0,3,21,53,0,0,0,0,0,,,0,,,0,,,Alabama,WillJe04
2020,2,Grant Delpit,44,S,2023,0,0,1,9,40,0,0,0,0,0,,,0,,,0,6,1.5,LSU,DelpGr00
2020,3,Jordan Elliott,88,DT,2023,0,0,1,10,57,0,0,0,0,0,,,0,,,0,,5.0,Texas,ElliJo02
2020,3,Jacob Phillips,97,LB,2022,0,0,0,5,20,0,0,0,0,0,,,0,,,0,,3.0,LSU,PhilJa01
2020,4,Harrison Bryant,115,TE,2023,0,0,2,6,56,0,0,0,0,0,4,14,0,79,717,8,,,Florida Atlantic,BryaHa00
2020,5,Nick Harris,160,C,2023,0,0,0,2,31,0,0,0,0,0,,,0,,,0,,,Washington,HarrNi01
2020,6,Donovan Peoples-Jones,187,WR,2023,0,0,1,16,50,0,0,0,0,0,1,2,0,117,1837,8,,,Michigan,PeopDo00
2019,2,Greedy Williams,46,CB,2022,0,0,1,8,39,0,0,0,0,0,,,0,,,0,2,,LSU,WillGr00
2019,3,Sione Takitaki,80,LB,2023,0,0,1,14,64,0,0,0,0,0,,,0,,,0,2,4.0,BYU,TakiSi00
2019,4,Sheldrick Redwine,119,S,2021,0,0,0,4,33,0,0,0,0,0,,,0,,,0,1,0.5,Miami (FL),RedwSh00
2019,5,Mack Wilson,155,LB,2023,0,0,2,15,69,0,0,0,0,0,,,0,,,0,1,2.5,Alabama,WilsMa03
2019,5,Austin Seibert,170,K,2023,0,0,0,4,31,0,0,0,0,0,,,0,,,0,,,Oklahoma,SeibAu00
2019,6,Drew Forbes,189,T,2022,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,,SE Missouri St.,ForbDr00
2019,7,Donnie Lewis,221,CB,,0,0,0,,,,,,,,,,,,,,,,Tulane,LewiDo00
2018,1,Baker Mayfield,1,QB,2023,0,0,4,46,80,1565,2535,18153,114,68,224,782,6,1,17,0,,,Oklahoma,MayfBa00
2018,1,Denzel Ward,4,CB,2023,0,2,5,28,74,0,0,0,0,0,,,0,,,0,15,0.5,Ohio St.,WardDe02
2018,2,Austin Corbett,33,C,2023,0,0,4,24,75,0,0,0,0,0,,,0,,,0,,,Nevada,CorbAu00
2018,2,Nick Chubb,35,RB,2023,0,4,5,45,77,0,0,0,0,0,1238,6511,48,123,1011,4,,,Georgia,ChubNi00
2018,3,Chad Thomas,67,DE,2019,0,0,0,5,20,0,0,0,0,0,,,0,,,0,,4.0,Miami (FL),ThomCh06
2018,4,Antonio Callaway,105,WR,2020,0,0,1,5,25,0,0,0,0,0,2,7,0,53,695,5,,,Florida,CallAn00
