Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Calijah Kancey,19,DL,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,2.0,Pittsburgh,KancCa00
2023,2,Cody Mauch,48,T,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,North Dakota St.,MaucCo00
2023,3,YaYa Diaby,82,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,1.0,Louisville,DiabYa00
2023,5,SirVocea Dennis,153,LB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Pittsburgh,DennSi00
2023,5,Payne Durham,171,TE,2023,0,0,0,0,4,0,0,0,0,0,,,0,1,8,0,,,Purdue,DurhPa00
2023,6,Josh Hayes,181,CB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Kansas St.,HayeJo01
2023,6,Trey Palmer,191,WR,2023,0,0,0,0,8,0,0,0,0,0,,,0,15,167,2,,,Nebraska,PalmTr00
2023,6,Jose Ramirez,196,DL,,0,0,0,,,,,,,,,,,,,,,,East. Michigan,RamiJo00
2022,2,Logan Hall,33,DE,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,3.0,Houston,HallLo00
2022,2,Luke Goedeke,57,OL,2023,0,0,0,3,19,0,0,0,0,0,,,0,,,0,,,Central Michigan,GoedLu00
2022,3,Rachaad White,91,RB,2023,0,0,0,4,25,0,0,0,0,0,241,859,4,83,569,2,,,Arizona St.,WhitRa01
2022,4,Cade Otton,106,TE,2023,0,0,1,3,24,0,0,0,0,0,,,0,70,635,5,,,Washington,OttoCa00
2022,4,Jake Camarda,133,P,2023,0,0,1,4,25,0,0,0,0,0,,,0,,,0,,,Georgia,CamaJa00
2022,5,Zyon McCollum,157,DB,2023,0,0,0,2,21,0,0,0,0,0,,,0,,,0,,,Sam Houston St.,McCoZy02
