Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Paris Johnson,6,OL,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Ohio St.,JohnPa03
2023,2,BJ Ojulari,41,DE,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,1.0,LSU,OjulBJ00
2023,3,Garrett Williams,72,DB,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,1,,Syracuse,WillGa00
2023,3,Michael Wilson,94,WR,2023,0,0,0,0,8,0,0,0,0,0,,,0,25,401,2,,,Stanford,WilsMi02
2023,4,Jon Gaines,122,OL,,0,0,0,,,,,,,,,,,,,,,,UCLA,GainJo00
2023,5,Clayton Tune,139,QB,2023,0,0,0,0,2,12,21,62,0,2,5,28,0,,,0,,,Houston,TuneCl00
2023,5,Owen Pappoe,168,LB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Auburn,PappOw00
2023,6,Kei'Trel Clark,180,DB,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Louisville,ClarKe02
2023,6,Dante Stills,213,DT,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,2.5,West Virginia,StilDa01
2022,2,Trey McBride,55,TE,2023,0,0,1,2,25,0,0,0,0,0,,,0,57,552,2,,,Colorado St.,McBrTr01
2022,3,Cameron Thomas,87,DE,2023,0,0,0,1,26,0,0,0,0,0,,,0,,,0,,3.0,San Diego St.,ThomCa03
2022,3,Myjai Sanders,100,DE,2023,0,0,0,2,14,0,0,0,0,0,,,0,,,0,,3.0,Cincinnati,SandMy00
2022,6,Keaontay Ingram,201,RB,2023,0,0,0,1,19,0,0,0,0,0,60,132,1,8,47,0,,,USC,IngrKe01
2022,6,Lecitus Smith,215,OL,2022,0,0,0,1,10,0,0,0,0,0,,,0,,,0,,,Virginia Tech,SmitLe01
2022,7,Christian Matthew,244,DB,2023,0,0,0,2,18,0,0,0,0,0,,,0,,,0,,,Valdosta St.,MattCh01
2022,7,Jesse Luketa,256,LB,2023,0,0,0,0,13,0,0,0,0,0,,,0,,,0,,,Penn St.,LukeJe00
2022,7,Marquis Hayes,257,OL,,0,0,0,,,,,,,,,,,,,,,,Oklahoma,HayeMa00
2021,1,Zaven Collins,16,LB,2023,0,0,1,9,42,0,0,0,0,0,,,0,,,0,2,5.5,Tulsa,CollZa00
2021,2,Rondale Moore,49,WR,2023,0,0,0,8,31,0,0,0,0,0,45,221,1,115,977,2,,,Purdue,MoorRo02
2021,4,Marco Wilson,136,CB,2023,0,0,2,10,37,0,0,0,0,0,,,0,,,0,3,,Florida,WilsMa04
2021,6,Victor Dimukeje,210,DE,2023,0,0,0,2,37,0,0,0,0,0,,,0,,,0,,4.0,Duke,DimuVi00
2021,6,Tay Gowan,223,DB,2022,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Central Florida,GowaTa00
2021,7,James Wiggins,243,S,2021,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Cincinnati,WiggJa00
2021,7,Michal Menet,247,OL,,0,0,0,,,,,,,,,,,,,,,,Penn St.,MeneMi00
2020,1,Isaiah Simmons,8,LB,2023,0,0,2,17,59,0,0,0,0,0,,,0,,,0,4,7.5,Clemson,SimmIs00
2020,3,Josh Jones,72,T,2023,0,0,2,13,53,0,0,0,0,0,,,0,,,0,,,Houston,JoneJo07
2020,4,Leki Fotu,114,DT,2023,0,0,1,7,53,0,0,0,0,0,,,0,,,0,,2.5,Utah,FotuLe00
2020,4,Rashard Lawrence,131,DT,2022,0,0,0,6,25,0,0,0,0,0,,,0,,,0,,,LSU,LawrRa01
2020,6,Evan Weaver,202,LB,,0,0,0,,,,,,,,,,,,,,,,California,WeavEv00
