Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Quentin Johnston,21,WR,2023,0,0,0,0,8,0,0,0,0,0,1,2,0,14,128,0,,,TCU,JohnQu02
2023,2,Tuli Tuipulotu,54,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,4.0,USC,TuipTu00
2023,3,Daiyan Henley,85,LB,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Washington St.,HenlDa00
2023,4,Derius Davis,125,WR,2023,0,0,0,0,8,0,0,0,0,0,7,75,0,8,38,0,,,TCU,DaviDe02
2023,5,Jordan McFadden,156,OL,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Clemson,McFaJo00
2023,6,Scott Matlock,200,DT,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Boise St.,MatlSc00
2023,7,Max Duggan,239,QB,,0,0,0,,,,,,,,,,,,,,,,TCU,DuggMa00
2022,1,Zion Johnson,17,G,2023,0,0,1,8,25,0,0,0,0,0,,,0,,,0,,,Boston Col.,JohnZi00
2022,3,JT Woods,79,S,2023,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,,Baylor,WoodJT00
2022,4,Isaiah Spiller,123,RB,2023,0,0,0,0,11,0,0,0,0,0,30,68,0,6,33,0,,,Texas A&M,SpilIs00
2022,5,Otito Ogbonnia,160,DT,2023,0,0,0,1,8,0,0,0,0,0,,,0,,,0,,,UCLA,OgboOt00
2022,6,Jamaree Salyer,195,OL,2023,0,0,1,7,25,0,0,0,0,0,,,0,,,0,,,Georgia,SalyJa00
2022,6,Ja'Sir Taylor,214,DB,2023,0,0,0,2,25,0,0,0,0,0,,,0,,,0,1,,Wake Forest,TaylJa04
2022,7,Deane Leonard,236,DB,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,,,Mississippi,LeonDe00
2022,7,Zander Horvath,260,RB,2022,0,0,0,0,15,0,0,0,0,0,4,8,0,5,8,2,,,Purdue,HorvZa00
2021,1,Rashawn Slater,13,OL,2023,0,1,1,16,27,0,0,0,0,0,,,0,,,0,,,Northwestern,SlatRa00
2021,2,Asante Samuel Jr.,47,DB,2023,0,0,2,8,37,0,0,0,0,0,,,0,,,0,6,,Florida St.,SamuAs00
2021,3,Josh Palmer,77,WR,2023,0,0,1,9,40,0,0,0,0,0,2,10,0,128,1499,8,,,Tennessee,PalmJo00
2021,3,Tre' McKitty,97,TE,2023,0,0,0,1,34,0,0,0,0,0,,,0,16,117,0,,,Georgia,McKiTr00
2021,4,Chris Rumph,118,DE,2023,0,0,0,2,37,0,0,0,0,0,,,0,,,0,,3.0,Duke,RumpCh00
2021,5,Brenden Jaimes,159,OL,2023,0,0,0,2,28,0,0,0,0,0,,,0,,,0,,,Nebraska,JaimBr00
2021,6,Nick Niemann,185,LB,2023,0,0,0,2,42,0,0,0,0,0,,,0,,,0,1,,Iowa,NiemNi00
2021,6,Larry Rountree,198,RB,2022,0,0,0,1,16,0,0,0,0,0,49,106,1,3,13,0,,,Missouri,RounLa00
2021,7,Mark Webb,241,DB,2021,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Georgia,WebbMa01
2020,1,Justin Herbert,6,QB,2023,0,1,3,43,57,1505,2248,16115,107,39,204,781,11,3,0,0,,,Oregon,HerbJu00
