Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Felix Anudike-Uzomah,31,DE,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,0.5,Kansas St.,AnudFe00
2023,2,Rashee Rice,55,WR,2023,0,0,0,0,9,0,0,0,0,0,1,-3,0,32,378,4,,,SMU,RiceRa01
2023,3,Wanya Morris,92,OL,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Oklahoma,MorrWa01
2023,4,Chamarri Conner,119,DB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Virginia Tech,ConnCh01
2023,5,BJ Thompson,166,DE,,0,0,0,,,,,,,,,,,,,,,,S.F. Austin,ThomBJ00
2023,6,Keondre Coburn,194,DT,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Texas,CobuKe00
2023,7,Nic Jones,250,CB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Ball St.,JoneNi00
2022,1,Trent McDuffie,21,CB,2023,0,0,1,3,20,0,0,0,0,0,,,0,,,0,,1.0,Washington,McDuTr00
2022,1,George Karlaftis III,30,DE,2023,0,0,1,7,26,0,0,0,0,0,,,0,,,0,,12.0,Purdue,KarlGe00
2022,2,Skyy Moore,54,WR,2023,0,0,0,2,25,0,0,0,0,0,6,47,0,38,451,1,,,Western Michigan,MoorSk01
2022,2,Bryan Cook,62,S,2023,0,0,0,1,25,0,0,0,0,0,,,0,,,0,1,1.0,Cincinnati,CookBr02
2022,3,Leo Chenal,103,LB,2023,0,0,0,4,26,0,0,0,0,0,,,0,,,0,,4.0,Wisconsin,ChenLe00
2022,4,Joshua Williams,135,CB,2023,0,0,0,2,26,0,0,0,0,0,,,0,,,0,1,,Fayetteville St.,WillJo03
2022,5,Darian Kinnard,145,T,2022,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Kentucky,KinnDa00
2022,7,Jaylen Watson,243,DB,2023,0,0,0,3,24,0,0,0,0,0,,,0,,,0,1,1.0,Washington St.,WatsJa02
2022,7,Isiah Pacheco,251,RB,2023,0,0,1,7,26,0,0,0,0,0,294,1355,8,37,290,1,,,Rutgers,PachIs00
2022,7,Nazeeh Johnson,259,S,2022,0,0,0,1,11,0,0,0,0,0,,,0,,,0,,,Marshall,JohnNa01
2021,2,Nick Bolton,58,LB,2023,0,0,2,13,37,0,0,0,0,0,,,0,,,0,3,2.0,Missouri,BoltNi00
2021,2,Creed Humphrey,63,OL,2023,0,1,2,22,43,0,0,0,0,0,,,0,,,0,,,Oklahoma,HumpCr00
2021,4,Joshua Kaindoh,144,DE,2021,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Florida St.,KainJo00
2021,5,Noah Gray,162,TE,2023,0,0,0,3,42,0,0,0,0,0,2,2,1,53,549,3,,,Duke,GrayNo00
2021,5,Cornell Powell,181,WR,2022,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Clemson,PoweCo00
2021,6,Trey Smith,226,OL,2023,0,0,2,18,42,0,0,0,0,0,,,0,,,0,,,Tennessee,SmitTr05
2020,1,Clyde Edwards-Helaire,32,RB,2023,0,0,1,15,41,0,0,0,0,0,404,1731,12,78,613,6,,,LSU,EdwaCl00
2020,2,Willie Gay Jr.,63,LB,2023,0,0,3,14,50,0,0,0,0,0,,,0,,,0,3,5.0,Mississippi St.,GayJWi00
2020,3,Lucas Niang,96,T,2023,0,0,0,7,25,0,0,0,0,0,,,0,,,0,,,TCU,NianLu00
2020,4,L'Jarius Sneed,138,S,2023,0,0,2,13,50,0,0,0,0,0,,,0,,,0,9,6.5,Louisiana Tech,SneeLJ00
2020,5,Michael Danna,177,DE,2023,0,0,0,5,52,0,0,0,0,0,,,0,,,0,,16.0,Michigan,DannMi00
2020,7,Thakarius Keyes,237,CB,2021,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,,Tulane,KeyeTh00
2019,2,Mecole Hardman,56,WR,2023,0,1,0,22,65,0,0,0,0,0,21,128,2,158,2123,16,,,Georgia,HardMe00
2019,2,Juan Thornhill,63,S,2023,0,0,4,17,72,0,0,0,0,0,,,0,,,0,8,1.0,Virginia,ThorJu00
2019,3,Khalen Saunders,84,DT,2023,0,0,0,5,47,0,0,0,0,0,,,0,,,0,,4.5,Western Illinois,SaunKh00
2019,6,Rashad Fenton,201,CB,2022,0,0,0,7,49,0,0,0,0,0,,,0,,,0,2,,South Carolina,FentRa00
2019,6,Darwin Thompson,214,RB,2020,0,0,0,2,26,0,0,0,0,0,64,225,2,16,108,1,,,Utah St.,ThomDa06
2019,7,Nick Allegretti,216,G,2023,0,0,1,10,66,0,0,0,0,0,,,0,,,0,,,Illinois,AlleNi00
