Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Anthony Richardson,4,QB,2023,0,0,0,0,4,50,84,577,3,1,25,136,4,,,0,,,Florida,RichAn03
2023,2,Julius Brents,44,DB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,1,,Kansas St.,BrenJu00
2023,3,Josh Downs,79,WR,2023,0,0,0,0,9,0,0,0,0,0,,,0,41,483,2,,,North Carolina,DownJo00
2023,4,Blake Freeland,106,OL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,BYU,FreeBl00
2023,4,Adetomiwa Adebawore,110,DL,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,1.0,Northwestern,AdebAd00
2023,5,Darius Rush,138,DB,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,South Carolina,RushDa00
2023,5,Daniel Scott,158,S,,0,0,0,,,,,,,,,,,,,,,,California,ScotDa03
2023,5,Will Mallory,162,TE,2023,0,0,0,0,4,0,0,0,0,0,,,0,3,55,0,,,Miami (FL),MallWi00
2023,5,Evan Hull,176,RB,2023,0,0,0,0,1,0,0,0,0,0,1,1,0,1,6,0,,,Northwestern,HullEv00
2023,6,Titus Leo,211,LB,,0,0,0,,,,,,,,,,,,,,,,Wagner,LeoxTi00
2023,7,Jaylon Jones,221,DB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Texas A&M,JoneJa13
2023,7,Jake Witt,236,OL,,0,0,0,,,,,,,,,,,,,,,,Northern Michigan,WittJa01
2022,2,Alec Pierce,53,WR,2023,0,0,1,4,25,0,0,0,0,0,,,0,58,836,2,,,Cincinnati,PierAl00
2022,3,Jelani Woods,73,TE,2022,0,0,0,2,15,0,0,0,0,0,,,0,25,312,3,,,Virginia,WoodJe01
2022,3,Bernhard Raimann,77,OL,2023,0,0,1,5,23,0,0,0,0,0,,,0,,,0,,,Central Michigan,RaimBe00
2022,3,Nick Cross,96,DB,2023,0,0,0,2,25,0,0,0,0,0,,,0,,,0,,,Maryland,CrosNi00
2022,5,Eric Johnson,159,DT,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,,0.5,Missouri State,JohnEr01
2022,6,Andrew Ogletree,192,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,9,147,2,,,Youngstown St.,OgleAn00
2022,6,Curtis Brooks,216,DT,,0,0,0,,,,,,,,,,,,,,,,Cincinnati,BrooCu00
2022,7,Rodney Thomas II,239,LB,2023,0,0,1,4,26,0,0,0,0,0,,,0,,,0,5,,Yale,ThomRo07
2021,1,Kwity Paye,21,DL,2023,0,0,2,13,35,0,0,0,0,0,,,0,,,0,,13.5,Michigan,PayeKw00
2021,2,Dayo Odeyingbo,54,DL,2023,0,0,0,4,36,0,0,0,0,0,,,0,,,0,,8.5,Vanderbilt,OdeyDa00
2021,4,Kylen Granson,127,TE,2023,0,0,0,3,37,0,0,0,0,0,1,0,0,58,578,1,,,SMU,GranKy00
2021,5,Shawn Davis,165,DB,2021,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Florida,DaviSh02
2021,6,Sam Ehlinger,218,QB,2022,0,0,0,2,7,64,101,573,3,3,20,96,0,,,0,,,Texas,EhliSa00
2021,7,Mike Strachan,229,WR,2023,0,0,0,0,20,0,0,0,0,0,,,0,6,130,0,,,Charleston (WV),StraMi03
2021,7,Will Fries,248,OL,2023,0,0,1,3,28,0,0,0,0,0,,,0,,,0,,,Penn St.,FrieWi00
2020,2,Michael Pittman Jr.,34,WR,2023,0,0,3,23,55,0,0,0,0,0,11,100,0,285,3103,14,,,USC,PittMi01
2020,2,Jonathan Taylor,41,RB,2023,1,1,3,32,48,0,0,0,0,0,818,4095,34,119,933,4,,,Wisconsin,TaylJo02
2020,3,Julian Blackmon,85,S,2023,0,0,2,11,44,0,0,0,0,0,,,0,,,0,5,1.0,Utah,BlacJu01
2020,4,Jacob Eason,122,QB,2022,0,0,0,0,2,5,10,84,0,2,,,0,,,0,,,Washington,EasoJa00
2020,5,Danny Pinter,149,G,2022,0,0,0,5,46,0,0,0,0,0,,,0,1,2,1,,,Ball St.,PintDa00
2020,6,Robert Windsor,193,DT,2020,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Penn St.,WindRo01
2020,6,Isaiah Rodgers,211,CB,2022,0,0,1,8,45,0,0,0,0,0,,,0,,,0,3,,Massachusetts,RodgIs00
2020,6,Dezmon Patmon,212,WR,2022,0,0,0,0,10,0,0,0,0,0,,,0,4,45,1,,,Washington St.,PatmDe00
2020,6,Jordan Glasgow,213,LB,2021,0,0,0,2,25,0,0,0,0,0,,,0,,,0,,,Michigan,GlasJo00
2019,2,Rock Ya-Sin,34,CB,2023,0,0,1,13,60,0,0,0,0,0,,,0,,,0,2,,Temple,Ya-SRo00
2019,2,Ben Banogu,49,LB,2022,0,0,0,4,50,0,0,0,0,0,,,0,,,0,,2.5,TCU,BanoBe00
2019,2,Parris Campbell,59,WR,2023,0,0,1,9,41,0,0,0,0,0,11,108,0,115,1083,5,,,Ohio St.,CampPa00
2019,3,Bobby Okereke,89,LB,2023,0,0,4,22,73,0,0,0,0,0,,,0,,,0,4,2.0,Stanford,OkerBo00
2019,4,Khari Willis,109,S,2021,0,0,1,12,39,0,0,0,0,0,,,0,,,0,4,3.5,Michigan St.,WillKh00
2019,5,Marvell Tell III,144,S,2019,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,,USC,TellMa00
2019,5,E.J. Speed,164,LB,2023,0,0,0,6,70,0,0,0,0,0,,,0,,,0,,2.0,Tarleton St.,SpeeEJ00
2019,6,Gerri Green,199,DE,2022,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Mississippi St.,GreeGe00
2019,7,Jackson Barton,240,T,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Utah,BartJa00
2019,7,Javon Patterson,246,C,2020,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Mississippi,PattJa00
2018,1,Quenton Nelson,6,G,2023,3,5,5,55,87,0,0,0,0,0,1,0,0,,,0,,,Notre Dame,NelsQu00
2018,2,Shaquille Leonard,36,LB,2023,3,3,4,56,69,0,0,0,0,0,,,0,,,0,12,15.0,South Carolina St.,LeonDa00
2018,2,Braden Smith,37,G,2023,0,0,5,32,77,0,0,0,0,0,,,0,,,0,,,Auburn,SmitBr06
2018,2,Kemoko Turay,52,OLB,2022,0,0,0,5,41,0,0,0,0,0,,,0,,,0,,12.0,Rutgers,TuraKe00
2018,2,Tyquan Lewis,64,DE,2023,0,0,0,10,57,0,0,0,0,0,,,0,,,0,1,10.5,Ohio St.,LewiTy00
2018,4,Nyheim Hines,104,RB,2022,0,0,0,25,81,0,0,0,0,0,306,1202,10,240,1778,8,,,North Carolina St.,HineNy00
2018,5,Daurice Fountain,159,WR,2021,0,0,0,0,8,0,0,0,0,0,,,0,2,23,0,,,Northern Iowa,FounDa00
2018,5,Jordan Wilkins,169,RB,2022,0,0,0,8,54,0,0,0,0,0,208,1009,4,41,262,0,,,Mississippi,WilkJo01
2018,6,Deon Cain,185,WR,2020,0,0,0,1,15,0,0,0,0,0,,,0,9,124,0,,,Clemson,CainDe00
2018,7,Matthew Adams,221,LB,2023,0,0,1,11,76,0,0,0,0,0,,,0,,,0,,,Houston,AdamMa00
2018,7,Zaire Franklin,235,LB,2023,0,0,2,17,90,0,0,0,0,0,,,0,,,0,1,4.5,Syracuse,FranZa00
2017,1,Malik Hooker,15,S,2023,0,0,3,17,75,0,0,0,0,0,,,0,,,0,12,,Ohio St.,HookMa00
2017,2,Quincy Wilson,46,CB,2022,0,0,0,4,33,0,0,0,0,0,,,0,,,0,2,,Florida,WilsQu01
2017,3,Tarell Basham,80,DE,2022,0,0,1,13,82,0,0,0,0,0,,,0,,,0,1,11.0,Ohio,BashTa00
2017,4,Zach Banner,137,T,2021,0,0,0,2,30,0,0,0,0,0,,,0,,,0,,,USC,BannZa00
2017,4,Marlon Mack,143,RB,2022,0,0,2,20,55,0,0,0,0,0,583,2568,21,65,547,3,,,South Florida,MackMa00
2017,4,Grover Stewart,144,DT,2023,0,0,4,28,102,0,0,0,0,0,,,0,,,0,,8.5,Albany State (GA),StewGr00
2017,5,Nate Hairston,158,CB,2022,0,0,1,9,61,0,0,0,0,0,,,0,,,0,2,2.0,Temple,HairNa00
2017,5,Anthony Walker,161,LB,2023,0,0,4,27,81,0,0,0,0,0,,,0,,,0,3,4.5,Northwestern,WalkAn01
2016,1,Ryan Kelly,18,C,2023,0,3,7,47,104,0,0,0,0,0,,,0,1,-4,0,,,Alabama,KellRy00
2016,2,T.J. Green,57,S,2021,0,0,0,6,41,0,0,0,0,0,,,0,,,0,,,Clemson,GreeT.00
2016,3,Le'Raven Clark,82,T,2022,0,0,0,12,64,0,0,0,0,0,,,0,,,0,,,Texas Tech,ClarLe01
2016,4,Hassan Ridgeway,116,DT,2023,0,0,0,13,80,0,0,0,0,0,,,0,,,0,,10.5,Texas,RidgHa00
2016,4,Antonio Morrison,125,ILB,2018,0,0,2,13,47,0,1,0,0,0,,,0,,,0,,1.0,Florida,MorrAn01
2016,5,Joe Haeg,155,T,2022,0,0,2,22,80,0,0,0,0,0,,,0,,,0,,,North Dakota St.,HaegJo00
2016,7,Trevor Bates,239,LB,2018,0,0,0,1,10,0,0,0,0,0,,,0,,,0,,,Maine,BateTr00
2016,7,Austin Blythe,248,C,2022,0,0,4,33,92,0,0,0,0,0,,,0,,,0,,,Iowa,BlytAu00
2015,1,Phillip Dorsett,29,WR,2023,0,0,0,16,93,0,1,0,0,0,14,84,0,151,2001,12,,,Miami (FL),DorsPh00
2015,3,D'Joun Smith,65,CB,2016,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Florida Atlantic,SmitDJ00
2015,3,Henry Anderson,93,DE,2022,0,0,4,21,89,0,0,0,0,0,,,0,,,0,,11.5,Stanford,AndeHe00
2015,4,Clayton Geathers,109,S,2019,0,0,3,13,56,0,0,0,0,0,,,0,,,0,1,,Central Florida,GeatCl00
2015,5,David Parry,151,NT,2018,0,0,2,13,36,0,0,0,0,0,,,0,,,0,,5.0,Stanford,ParrDa00
2015,6,Josh Robinson,205,RB,2015,0,0,0,0,5,0,0,0,0,0,17,39,0,6,33,0,,,Mississippi St.,RobiJo02
2015,6,Amarlo Herrera,207,ILB,2015,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Georgia,HerrAm00
2015,7,Denzelle Good,255,T,2021,0,0,2,21,62,0,0,0,0,0,,,0,,,0,,,Mars Hill,GoodDe01
2014,2,Jack Mewhort,59,T,2017,0,0,4,22,45,0,0,0,0,0,,,0,,,0,,,Ohio St.,MewhJa00
2014,3,Donte Moncrief,90,WR,2020,0,0,3,18,83,0,0,0,0,0,6,20,0,205,2576,21,,,Mississippi,MoncDo00
2014,5,Jonathan Newsome,166,LB,2015,0,0,0,4,30,0,0,0,0,0,,,0,,,0,,7.5,Ball St.,NewsJo00
2014,6,Andrew Jackson,203,LB,2014,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,1.0,Western Kentucky,JackAn02
2014,7,Ulrick John,232,OL,2017,0,0,0,2,10,0,0,0,0,0,,,0,,,0,,,Georgia St.,JohnUl00
2013,1,Bjoern Werner,24,DE,2015,0,0,1,10,38,0,0,0,0,0,,,0,,,0,,6.5,Florida St.,WernBj00
2013,3,Hugh Thornton,86,G,2015,0,0,3,16,37,0,0,0,0,0,,,0,,,0,,,Illinois,ThorHu00
2013,4,Khaled Holmes,121,C,2015,0,0,0,4,17,0,0,0,0,0,,,0,,,0,,,USC,HolmKh00
2013,5,Montori Hughes,139,DT,2016,0,0,0,2,25,0,0,0,0,0,,,0,,,0,,,UT Martin,HughMo00
2013,6,John Boyett,192,DB,,0,0,0,,,,,,,,,,,,,,,,Oregon,BoyeJo00
2013,7,Kerwynn Williams,230,RB,2017,0,0,0,6,39,0,0,0,0,0,218,971,4,15,126,0,,,Utah St.,WillKe05
2013,7,Justice Cunningham,254,TE,2015,0,0,0,0,4,0,0,0,0,0,,,0,1,4,0,,,South Carolina,CunnJu00
2012,1,Andrew Luck,1,QB,2018,0,4,5,72,86,2000,3290,23671,171,83,332,1590,14,1,4,0,,,Stanford,LuckAn00
2012,2,Coby Fleener,34,TE,2017,0,0,4,25,87,0,0,0,0,0,1,2,1,255,3080,22,1,,Stanford,FleeCo00
2012,3,Dwayne Allen,64,TE,2018,0,0,4,12,86,0,0,0,0,0,4,6,0,139,1564,20,,,Clemson,AlleDw00
2012,3,T.Y. Hilton,92,WR,2022,0,4,8,72,146,0,1,0,0,0,9,55,0,638,9812,53,,,Florida International,HiltT.00
2012,5,Josh Chapman,136,NT,2014,0,0,1,7,29,0,0,0,0,0,,,0,,,0,,,Alabama,ChapJo00
2012,5,Vick Ballard,170,RB,2013,0,0,1,5,17,0,0,0,0,0,224,877,2,18,147,1,,,Mississippi St.,BallVi00
2012,6,LaVon Brazill,206,WR,2013,0,0,0,3,25,0,0,0,0,0,,,0,23,347,3,,,Ohio,BrazLa00
2012,7,Justin Anderson,208,OL,,0,0,0,,,,,,,,,,,,,,,,Georgia,AndeJu00
2012,7,Tim Fugger,214,DE,,0,0,0,,,,,,,,,,,,,,,,Vanderbilt,FuggTi00
2012,7,Chandler Harnish,253,QB,,0,0,0,,,,,,,,,,,,,,,,Northern Illinois,HarnCh00
2011,1,Anthony Castonzo,22,T,2020,0,0,10,58,144,0,0,0,0,0,,,0,1,1,1,,,Boston Col.,CastAn00
2011,2,Ben Ijalana,49,T,2017,0,0,1,6,34,0,0,0,0,0,,,0,,,0,,,Villanova,IjalBe00
2011,3,Drake Nevis,87,DT,2013,0,0,0,4,26,0,0,0,0,0,,,0,,,0,,1.0,LSU,NeviDr00
2011,4,Delone Carter,119,RB,2013,0,0,0,3,27,0,0,0,0,0,133,499,5,6,31,0,,,Syracuse,CartDe01
2011,6,Chris Rucker,188,DB,2011,0,0,0,2,15,0,0,0,0,0,,,0,,,0,,,Michigan St.,RuckCh00
2010,1,Jerry Hughes,31,DE,2023,0,0,9,67,209,0,0,0,0,0,,,0,,,0,2,68.0,TCU,HughJe99
2010,2,Pat Angerer,63,LB,2013,0,0,3,18,54,0,0,0,0,0,,,0,,,0,2,2.5,Iowa,AngePa99
