Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Emmanuel Forbes,16,CB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,1,,Mississippi St.,ForbEm00
2023,2,Jartavius Martin,47,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,1,,Illinois,MartJa04
2023,3,Ricky Stromberg,97,OL,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Arkansas,StroRi01
2023,4,Braeden Daniels,118,OL,,0,0,0,,,,,,,,,,,,,,,,Utah,DaniBr00
2023,5,K.J. Henry,137,DE,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Clemson,HenrKJ00
2023,6,Chris Rodriguez,193,RB,2023,0,0,0,0,7,0,0,0,0,0,14,61,0,,,0,,,Kentucky,RodrCh00
2023,7,Andre Jones,233,DE,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Louisiana,JoneAn02
2022,1,Jahan Dotson,16,WR,2023,0,0,1,4,21,0,0,0,0,0,2,-7,0,69,883,10,,,Penn St.,DotsJa00
2022,2,Phidarian Mathis,47,DT,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Alabama,MathPh00
2022,3,Brian Robinson Jr.,98,RB,2023,0,0,1,3,21,0,0,0,0,0,318,1244,7,23,197,3,,,Alabama,RobiBr01
2022,4,Percy Butler,113,S,2023,0,0,0,1,24,0,0,0,0,0,,,0,,,0,,,Louisiana,ButlPe00
2022,5,Sam Howell,144,QB,2023,0,0,0,1,10,246,372,2640,15,10,34,192,2,,,0,,,North Carolina,HoweSa00
2022,5,Cole Turner,149,TE,2023,0,0,0,0,18,0,0,0,0,0,,,0,10,105,0,,,Nevada,TurnCo00
2022,7,Chris Paul,230,OL,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Tulsa,PaulCh00
2022,7,Christian Holmes,240,CB,2023,0,0,0,2,23,0,0,0,0,0,,,0,,,0,,,Oklahoma St.,HolmCh00
2021,1,Jamin Davis,19,LB,2023,0,0,1,12,41,0,0,0,0,0,,,0,,,0,1,6.0,Kentucky,DaviJa11
2021,2,Samuel Cosmi,51,OL,2023,0,0,0,7,32,0,0,0,0,0,,,0,,,0,,,Texas,CosmSa00
2021,3,Benjamin St-Juste,74,DB,2023,0,0,1,5,30,0,0,0,0,0,,,0,,,0,1,2.0,Minnesota,StJuBe00
2021,3,Dyami Brown,82,WR,2023,0,0,0,2,39,0,0,0,0,0,3,11,0,25,428,2,,,North Carolina,BrowDy00
2021,4,John Bates,124,TE,2023,0,0,0,3,42,0,0,0,0,0,,,0,44,452,2,,,Boise St.,BateJo00
2021,5,Darrick Forrest,163,S,2023,0,0,1,5,30,0,0,0,0,0,,,0,,,0,4,,Cincinnati,ForrDa00
2021,6,Camaron Cheeseman,225,LS,2023,0,0,0,2,43,0,0,0,0,0,,,0,,,0,,,Michigan,CheeCa00
2021,7,William Bradley-King,240,OLB,2022,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,0.5,Baylor,BradWi00
