Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Mazi Smith,26,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Michigan,SmitMa06
2023,2,Luke Schoonmaker,58,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,3,14,1,,,Michigan,SchoLu00
2023,3,DeMarvion Overshown,90,LB,,0,0,0,,,,,,,,,,,,,,,,Texas,OverDe00
2023,4,Viliami Fehoko,129,DL,,0,0,0,,,,,,,,,,,,,,,,San Jose St.,FehoVi00
2023,5,Asim Richards,169,OL,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,North Carolina,RichAs00
2023,6,Eric Scott,178,DB,,0,0,0,,,,,,,,,,,,,,,,Southern Miss,ScotEr00
2023,6,Deuce Vaughn,212,RB,2023,0,0,0,0,5,0,0,0,0,0,20,40,0,5,19,0,,,Kansas St.,VaugDe00
2023,7,Jalen Brooks,244,WR,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,South Carolina,BrooJa03
2022,1,Tyler Smith,24,OL,2023,0,0,1,8,23,0,0,0,0,0,,,0,,,0,,,Tulsa,SmitTy02
2022,2,Sam Williams,56,DE,2023,0,0,0,2,23,0,0,0,0,0,,,0,,,0,,6.0,Mississippi,WillSa00
2022,3,Jalen Tolbert,88,WR,2023,0,0,0,0,16,0,0,0,0,0,,,0,12,132,1,,,South Alabama,TolbJa00
2022,4,Jake Ferguson,129,TE,2023,0,0,0,2,24,0,0,0,0,0,,,0,51,502,5,,,Wisconsin,FergJa00
2022,5,Matt Waletzko,155,OL,2022,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,North Dakota,WaleMa00
2022,5,DaRon Bland,167,DB,2023,0,0,0,4,25,0,0,0,0,0,,,0,,,0,9,,Fresno St.,BlanDa00
2022,5,Damone Clark,176,LB,2023,0,0,0,3,18,0,0,0,0,0,,,0,,,0,,,LSU,ClarDa02
2022,5,John Ridgeway,178,DT,2023,0,0,0,3,24,0,0,0,0,0,,,0,,,0,,,Arkansas,RidgJo00
2022,6,Devin Harper,193,LB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Oklahoma St.,HarpDe00
2021,1,Micah Parsons,12,LB,2023,2,2,2,36,41,0,0,0,0,0,,,0,,,0,,34.0,Penn St.,ParsMi00
2021,2,Kelvin Joseph,44,DB,2023,0,0,0,2,30,0,0,0,0,0,,,0,,,0,,,Kentucky,JoseKe02
2021,3,Osa Odighizuwa,75,DL,2023,0,0,2,14,41,0,0,0,0,0,,,0,,,0,,9.0,UCLA,OdigOs00
2021,3,Chauncey Golston,84,DL,2023,0,0,0,3,38,0,0,0,0,0,,,0,,,0,,3.0,Iowa,GolsCh00
2021,3,Nahshon Wright,99,DB,2023,0,0,0,2,23,0,0,0,0,0,,,0,,,0,1,,Oregon St.,WrigNa00
2021,4,Jabril Cox,115,LB,2023,0,0,0,2,18,0,0,0,0,0,,,0,,,0,,,LSU,CoxxJa00
2021,4,Josh Ball,138,OL,2022,0,0,0,1,13,0,0,0,0,0,,,0,,,0,,,Marshall,BallJo00
2021,5,Simi Fehoko,179,WR,2023,0,0,0,0,14,0,0,0,0,0,,,0,4,33,1,,,Stanford,FehoSi00
2021,6,Quinton Bohanna,192,DT,2022,0,0,1,6,27,0,0,0,0,0,,,0,,,0,,,Kentucky,BohaQu00
2021,6,Israel Mukuamu,227,DB,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,1,,South Carolina,MukuIs00
2021,7,Matt Farniok,238,G,2022,0,0,0,2,19,0,0,0,0,0,,,0,,,0,,,Nebraska,FarnMa00
2020,1,CeeDee Lamb,17,WR,2023,0,2,3,32,57,0,0,0,0,0,33,238,1,317,4220,23,,,Oklahoma,LambCe00
2020,2,Trevon Diggs,51,CB,2023,1,2,3,27,47,0,0,0,0,0,,,0,,,0,18,1.0,Alabama,DiggTr00
2020,3,Neville Gallimore,82,DT,2023,0,0,1,8,43,0,0,0,0,0,,,0,,,0,,3.0,Oklahoma,GallNe00
2020,4,Reggie Robinson II,123,CB,2020,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Tulsa,RobiRe00
2020,4,Tyler Biadasz,146,C,2023,0,1,2,17,52,0,0,0,0,0,,,0,,,0,,,Wisconsin,BiadTy00
2020,5,Bradlee Anae,179,DE,2021,0,0,0,1,11,0,0,0,0,0,,,0,,,0,,,Utah,AnaeBr00
2020,7,Ben DiNucci,231,QB,2020,0,0,0,1,3,23,43,219,0,0,6,22,0,,,0,,,James Madison,DiNuBe00
2019,2,Trysten Hill,58,DT,2023,0,0,0,5,32,0,0,0,0,0,,,0,,,0,,1.5,Central Florida,HillTr00
2019,3,Connor McGovern,90,G,2023,0,0,1,14,54,0,0,0,0,0,,,0,,,0,,,Penn St.,McGoCo01
2019,4,Tony Pollard,128,RB,2023,0,1,0,25,70,0,0,0,0,0,630,3090,19,150,1198,5,,,Memphis,PollTo00
2019,5,Michael Jackson,158,CB,2023,0,0,1,6,29,0,0,0,0,0,,,0,,,0,1,,Miami (FL),JackMi01
2019,5,Joe Jackson,165,DE,2021,0,0,0,1,20,0,0,0,0,0,,,0,,,0,,1.5,Miami (FL),JackJo02
2019,6,Donovan Wilson,213,S,2023,0,0,2,12,57,0,0,0,0,0,,,0,,,0,3,8.5,Texas A&M,WilsDo01
2019,7,Mike Weber,218,RB,,0,0,0,,,,,,,,,,,,,,,,Ohio St.,WebeMi00
2019,7,Jalen Jelks,241,DE,,0,0,0,,,,,,,,,,,,,,,,Oregon,JelkJa00
2018,1,Leighton Vander Esch,19,OLB,2023,0,1,5,33,71,0,0,0,0,0,,,0,,,0,3,3.5,Boise St.,VandLe00
2018,2,Connor Williams,50,T,2023,0,0,5,28,79,0,0,0,0,0,,,0,,,0,,,Texas,WillCo00
2018,3,Michael Gallup,81,WR,2023,0,0,4,26,77,0,0,0,0,0,,,0,254,3569,19,,,Colorado St.,GallMi00
2018,4,Dorance Armstrong Jr.,116,DE,2023,0,0,0,14,84,0,0,0,0,0,,,0,,,0,,19.5,Kansas,ArmsDo00
2018,4,Dalton Schultz,137,TE,2023,0,0,3,18,83,0,0,0,0,0,,,0,244,2472,21,,,Stanford,SchuDa00
2018,5,Mike White,171,QB,2023,0,0,0,5,10,193,310,2212,9,13,15,3,1,,,0,,,Western Kentucky,WhitMi01
2018,6,Chris Covington,193,LB,2019,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Indiana,CoviCh01
2018,6,Cedrick Wilson Jr.,208,WR,2023,0,0,0,7,60,5,5,111,1,0,6,7,0,88,1121,10,,,Boise St.,WilsCe01
2018,7,Bo Scarbrough,236,RB,2020,0,0,0,2,7,0,0,0,0,0,95,408,1,1,5,0,,,Alabama,ScarBo01
2017,1,Taco Charlton,28,DE,2022,0,0,0,9,60,0,0,0,0,0,,,0,,,0,,11.5,Michigan,CharTa00
2017,2,Chidobe Awuzie,60,CB,2023,0,0,4,22,78,0,0,0,0,0,,,0,,,0,6,,Colorado,AwuzCh00
2017,3,Jourdan Lewis,92,CB,2023,0,0,2,18,90,0,0,0,0,0,2,12,0,0,0,0,8,8.5,Michigan,LewiJo01
2017,4,Ryan Switzer,133,WR,2019,0,0,0,3,41,0,0,0,0,0,10,26,0,50,321,1,,,North Carolina,SwitRy00
2017,6,Xavier Woods,191,S,2023,0,0,5,27,98,0,0,0,0,0,,,0,,,0,8,1.0,Louisiana Tech,WoodXa00
2017,6,Marquez White,216,CB,,0,0,0,,,,,,,,,,,,,,,,Florida St.,WhitMa03
