Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,2,Cam Smith,51,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,South Carolina,SmitCa02
2023,3,De'Von Achane,84,RB,2023,0,0,0,0,4,0,0,0,0,0,38,460,5,9,67,2,,,Texas A&M,AchaDe00
2023,6,Elijah Higgins,197,WR,2023,0,0,0,0,3,0,0,0,0,0,,,0,1,0,0,,,Stanford,HiggEl00
2023,7,Ryan Hayes,238,OL,,0,0,0,,,,,,,,,,,,,,,,Michigan,HayeRy00
2022,3,Channing Tindall,102,LB,2023,0,0,0,1,25,0,0,0,0,0,,,0,,,0,,,Georgia,TindCh00
2022,4,Erik Ezukanma,125,WR,2023,0,0,0,0,3,0,0,0,0,0,5,22,0,1,3,0,,,Texas Tech,EzukEr00
2022,7,Cameron Goode,224,OLB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,California,GoodCa00
2022,7,Skylar Thompson,247,QB,2022,0,0,0,2,7,60,105,534,1,3,14,21,0,,,0,,,Kansas St.,ThomSk00
2021,1,Jaylen Waddle,6,WR,2023,0,0,2,19,41,0,0,0,0,0,7,39,1,219,2893,17,,,Alabama,WaddJa00
2021,1,Jaelan Phillips,18,DL,2023,0,0,1,12,40,0,0,0,0,0,,,0,,,0,,19.0,Miami (FL),PhilJa02
2021,2,Jevon Holland,36,S,2023,0,0,2,12,41,0,0,0,0,0,,,0,,,0,4,4.0,Oregon,HollJe02
2021,2,Liam Eichenberg,42,OL,2023,0,0,2,12,35,0,0,0,0,0,,,0,,,0,,,Notre Dame,EichLi00
2021,3,Hunter Long,81,TE,2022,0,0,0,0,16,0,0,0,0,0,,,0,1,8,0,,,Boston Col.,LongHu00
2021,7,Larnel Coleman,231,T,2022,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Massachusetts,ColeLa03
2021,7,Gerrid Doaks,244,RB,,0,0,0,,,,,,,,,,,,,,,,Cincinnati,DoakGe00
2020,1,Tua Tagovailoa,5,QB,2023,0,0,3,23,45,922,1386,10624,71,30,124,340,6,,,0,,,Alabama,TagoTu00
