Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Jalen Carter,9,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,4.0,Georgia,CartJa05
2023,1,Nolan Smith,30,OLB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,1.0,Georgia,SmitNo02
2023,3,Tyler Steen,65,OL,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Alabama,SteeTy00
2023,3,Sydney Brown,66,DB,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Illinois,BrowSy00
2023,4,Kelee Ringo,105,DB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Georgia,RingKe00
2023,6,Tanner McKee,188,QB,,0,0,0,,,,,,,,,,,,,,,,Stanford,McKeTa01
2023,7,Moro Ojomo,249,DE,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Texas,OjomMo00
2022,1,Jordan Davis,13,DT,2023,0,0,0,3,22,0,0,0,0,0,,,0,,,0,,2.5,Georgia,DaviJo03
2022,2,Cam Jurgens,51,OL,2023,0,0,0,1,21,0,0,0,0,0,,,0,,,0,,,Nebraska,JurgCa01
2022,3,Nakobe Dean,83,LB,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,,0.5,Georgia,DeanNa00
2022,6,Kyron Johnson,181,DE,2022,0,0,0,1,16,0,0,0,0,0,,,0,,,0,,,Kansas,JohnKy02
2022,6,Grant Calcaterra,198,TE,2023,0,0,0,1,23,0,0,0,0,0,,,0,5,81,0,,,SMU,CalcGr00
2021,1,DeVonta Smith,10,WR,2023,0,0,2,23,43,0,0,0,0,0,,,0,201,2645,16,,,Alabama,SmitDe07
2021,2,Landon Dickerson,37,OL,2023,0,1,2,16,40,0,0,0,0,0,,,0,,,0,,,Alabama,DickLa00
2021,3,Milton Williams,73,DL,2023,0,0,0,3,43,0,0,0,0,0,,,0,,,0,,6.5,Louisiana Tech,WillMi08
2021,4,Zech McPhearson,123,DB,2022,0,0,0,2,33,0,0,0,0,0,,,0,,,0,,1.0,Texas Tech,McPhZe00
2021,5,Kenneth Gainwell,150,RB,2023,0,0,0,9,41,0,0,0,0,0,175,706,11,71,496,1,,,Memphis,GainKe00
2021,6,Marlon Tuipulotu,189,DL,2023,0,0,0,1,21,0,0,0,0,0,,,0,,,0,,2.0,USC,TuipMa00
2021,6,Tarron Jackson,191,DE,2022,0,0,0,1,21,0,0,0,0,0,,,0,,,0,,1.0,Coastal Carolina,JackTa02
