Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Deonte Banks,24,DB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,1,,Maryland,BankDe00
2023,2,John Michael Schmitz,57,OL,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Minnesota,MichJo00
2023,3,Jalin Hyatt,73,WR,2023,0,0,0,0,9,0,0,0,0,0,,,0,11,214,0,,,Tennessee,HyatJa00
2023,5,Eric Gray,172,RB,2023,0,0,0,0,7,0,0,0,0,0,13,27,0,1,1,0,,,Oklahoma,GrayEr01
2023,6,Tre Hawkins,209,CB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Old Dominion,HawkTr00
2023,7,Jordon Riley,243,DL,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Oregon,RileJo00
2023,7,Gervarrius Owens,254,DB,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Houston,OwenGe00
2022,1,Kayvon Thibodeaux,5,DE,2023,0,0,1,7,23,0,0,0,0,0,,,0,,,0,,12.5,Oregon,ThibKa00
2022,1,Evan Neal,7,OL,2023,0,0,1,6,20,0,0,0,0,0,,,0,,,0,,,Alabama,NealEv00
2022,2,Wan'Dale Robinson,43,WR,2023,0,0,0,2,13,0,0,0,0,0,6,24,0,50,425,2,,,Kentucky,RobiWa01
2022,3,Joshua Ezeudu,67,OL,2023,0,0,0,1,16,0,0,0,0,0,,,0,,,0,,,North Carolina,EzeuJo00
2022,3,Cordale Flott,81,CB,2023,0,0,0,2,17,0,0,0,0,0,,,0,,,0,,,LSU,FlotCo00
2022,4,Daniel Bellinger,112,TE,2023,0,0,1,3,21,0,0,0,0,0,1,2,1,37,333,2,,,San Diego St.,BellDa00
2022,4,Dane Belton,114,DB,2023,0,0,0,3,24,0,0,0,0,0,,,0,,,0,2,,Iowa,BeltDa00
2022,5,Micah McFadden,146,LB,2023,0,0,0,4,25,0,0,0,0,0,,,0,,,0,1,2.5,Indiana,McFaMi01
2022,5,D.J. Davidson,147,DT,2023,0,0,0,0,12,0,0,0,0,0,,,0,,,0,,0.5,Arizona St.,DaviDJ00
