Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Anton Harrison,27,OL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Oklahoma,HarrAn00
2023,2,Brenton Strange,61,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,4,34,1,,,Penn St.,StraBr00
2023,3,Tank Bigsby,88,RB,2023,0,0,0,0,8,0,0,0,0,0,23,54,2,1,6,0,,,Auburn,BigsTa00
2023,4,Ventrell Miller,121,LB,,0,0,0,,,,,,,,,,,,,,,,Florida,MillVe00
2023,4,Tyler Lacy,130,DE,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Oklahoma St.,LacyTy00
2023,5,Yasir Abdullah,136,LB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Louisville,AbduYa00
2023,5,Antonio Johnson,160,DB,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,1,,Texas A&M,JohnAn07
2023,6,Parker Washington,185,WR,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Penn St.,WashPa01
2023,6,Christian Braswell,202,DB,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Rutgers,BrasCh00
2023,6,Erick Hallett,208,DB,,0,0,0,,,,,,,,,,,,,,,,Pittsburgh,HallEr00
2023,7,Cooper Hodges,226,OL,,0,0,0,,,,,,,,,,,,,,,,Appalachian St.,HodgCo00
2023,7,Raymond Vohasek,227,DT,,0,0,0,,,,,,,,,,,,,,,,North Carolina,VohaRa00
2023,7,Derek Parish,240,DL,,0,0,0,,,,,,,,,,,,,,,,Houston,PariDe00
2022,1,Travon Walker,1,DE,2023,0,0,1,6,23,0,0,0,0,0,,,0,,,0,1,7.0,Georgia,WalkTr03
2022,1,Devin Lloyd,27,LB,2023,0,0,1,8,23,0,0,0,0,0,,,0,,,0,3,,Utah,LloyDe00
2022,3,Luke Fortner,65,G,2023,0,0,1,8,25,0,0,0,0,0,,,0,,,0,,,Kentucky,FortLu01
