Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Will McDonald,15,DE,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,0.5,Iowa St.,McDoWi00
2023,2,Joe Tippmann,43,OL,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Wisconsin,TippJo00
2023,4,Carter Warren,120,OL,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Pittsburgh,WarrCa00
2023,5,Israel Abanikanda,143,RB,,0,0,0,,,,,,,,,,,,,,,,Pittsburgh,AbanIs00
2023,6,Zaire Barnes,184,LB,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Western Michigan,BarnZa00
2023,6,Jarrick Bernard-Converse,204,CB,,0,0,0,,,,,,,,,,,,,,,,LSU,BernJa01
2023,7,Zack Kuntz,220,TE,,0,0,0,,,,,,,,,,,,,,,,Old Dominion,KuntZa00
2022,1,Sauce Gardner,4,CB,2023,1,1,1,14,24,0,0,0,0,0,,,0,,,0,2,,Cincinnati,GardSa00
2022,1,Garrett Wilson,10,WR,2023,0,0,1,8,25,0,1,0,0,0,5,10,0,129,1652,6,,,Ohio St.,WilsGa00
2022,1,Jermaine Johnson II,26,LB,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,,7.0,Florida St.,JohnJe07
2022,2,Breece Hall,36,RB,2023,0,0,0,4,15,0,0,0,0,0,174,956,6,42,417,2,,,Iowa St.,HallBr03
2022,3,Jeremy Ruckert,101,TE,2023,0,0,0,0,17,0,0,0,0,0,,,0,6,51,0,,,Ohio St.,RuckJe00
2022,4,Max Mitchell,111,T,2023,0,0,0,2,12,0,0,0,0,0,,,0,,,0,,,Louisiana,MitcMa02
2022,4,Micheal Clemons,117,DT,2023,0,0,0,1,23,0,0,0,0,0,,,0,,,0,,2.5,Texas A&M,ClemMi03
2021,1,Zach Wilson,2,QB,2023,0,0,2,9,30,505,892,5622,20,23,82,417,5,1,2,1,,,BYU,WilsZa00
2021,1,Alijah Vera-Tucker,14,OL,2023,0,0,1,7,28,0,0,0,0,0,,,0,,,0,,,USC,VeraAl00
2021,2,Elijah Moore,34,WR,2023,0,0,1,7,35,0,0,0,0,0,18,70,1,109,1254,6,,,Mississippi,MoorEl00
2021,4,Michael Carter,107,RB,2023,0,0,2,10,38,0,0,0,0,0,269,1079,7,92,681,0,,,North Carolina,CartMi03
2021,5,Jamien Sherwood,146,DB,2023,0,0,0,2,30,0,0,0,0,0,,,0,,,0,,0.5,Auburn,SherJa00
2021,5,Michael Carter,154,S,2023,0,0,0,6,40,0,0,0,0,0,,,0,,,0,2,1.0,Duke,CartMi02
2021,5,Jason Pinnock,175,CB,2023,0,0,0,3,35,0,0,0,0,0,,,0,,,0,1,2.5,Pittsburgh,PinnJa01
2021,6,Hamsah Nasirildeen,186,DB,2022,0,0,0,2,19,0,0,0,0,0,,,0,,,0,,,Florida St.,NasiHa00
2021,6,Brandin Echols,200,CB,2023,0,0,1,5,32,0,0,0,0,0,,,0,,,0,2,,Kentucky,EchoBr00
2021,6,Jonathan Marshall,207,DL,2021,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Arkansas,MarsJo00
