Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Lukas Van Ness,13,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,1.0,Iowa,VanNLu00
2023,2,Luke Musgrave,42,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,27,249,1,,,Oregon St.,MusgLu00
2023,2,Jayden Reed,50,WR,2023,0,0,0,0,8,0,0,0,0,0,2,19,0,23,333,3,,,Michigan St.,ReedJa03
2023,3,Tucker Kraft,78,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,2,5,0,,,South Dakota St.,KrafTu00
2023,4,Colby Wooden,116,DE,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Auburn,WoodCo01
2023,5,Sean Clifford,149,QB,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,,,0,,,Penn St.,ClifSe00
2023,5,Dontayvion Wicks,159,WR,2023,0,0,0,0,8,1,1,14,0,0,1,1,0,14,189,1,,,Virginia,WickDo00
2023,6,Karl Brooks,179,DT,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,2.0,Bowling Green,BrooKa00
2023,6,Anders Carlson,207,K,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Auburn,CarlAn00
2023,7,Carrington Valentine,232,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Kentucky,ValeCa00
2023,7,Lew Nichols,235,RB,,0,0,0,,,,,,,,,,,,,,,,Central Michigan,NichLe00
2023,7,Anthony Johnson,242,DB,2023,0,0,0,0,3,0,0,0,0,0,,,0,,,0,1,,Iowa St.,JohnAn08
2023,7,Grant Dubose,256,WR,,0,0,0,,,,,,,,,,,,,,,,Charlotte,DuboGr00
2022,1,Quay Walker,22,LB,2023,0,0,1,7,24,0,0,0,0,0,,,0,,,0,1,1.5,Georgia,WalkQu00
2022,1,Devonte Wyatt,28,DT,2023,0,0,0,1,24,0,0,0,0,0,,,0,,,0,,4.0,Georgia,WyatDe00
2022,2,Christian Watson,34,WR,2023,0,0,1,7,19,0,0,0,0,0,8,75,2,53,824,8,,,North Dakota St.,WatsCh00
2022,3,Sean Rhyan,92,OL,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,UCLA,RhyaSe00
2022,4,Romeo Doubs,132,WR,2023,0,0,0,4,21,0,0,0,0,0,1,11,0,72,737,8,,,Nevada,DoubRo00
2022,4,Zach Tom,140,OL,2023,0,0,0,3,17,0,0,0,0,0,,,0,,,0,,,Wake Forest,TomxZa00
2022,5,Kingsley Enagbare,179,DE,2023,0,0,0,4,25,0,0,0,0,0,,,0,,,0,,4.0,South Carolina,EnagKi00
2022,7,Tariq Carpenter,228,DB,2022,0,0,0,1,14,0,0,0,0,0,,,0,,,0,,,Georgia Tech,CarpTa00
2022,7,Jonathan Ford,234,DT,,0,0,0,,,,,,,,,,,,,,,,Miami (FL),FordJo00
2022,7,Rasheed Walker,249,OL,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Penn St.,WalkRa00
2022,7,Samori Toure,258,WR,2023,0,0,0,1,18,0,0,0,0,0,,,0,10,144,1,,,Nebraska,TourSa00
2021,1,Eric Stokes,29,DB,2023,0,0,2,6,26,0,0,0,0,0,,,0,,,0,1,,Georgia,StokEr00
2021,2,Josh Myers,62,C,2023,0,0,1,12,31,0,0,0,0,0,,,0,,,0,,,Ohio St.,MyerJo00
2021,3,Amari Rodgers,85,WR,2023,0,0,0,2,35,0,0,0,0,0,3,18,0,20,249,1,,,Clemson,RodgAm00
2021,4,Royce Newman,142,G,2023,0,0,1,12,42,0,0,0,0,0,,,0,,,0,,,Mississippi,NewmRo00
2021,5,Tedarrell Slaton,173,DL,2023,0,0,0,3,42,0,0,0,0,0,,,0,,,0,,1.0,Florida,SlatTe00
2021,5,Shemar Jean-Charles,178,DB,2023,0,0,0,1,23,0,0,0,0,0,,,0,,,0,,,Appalachian St.,JeanSh00
2021,6,Cole Van Lanen,214,OL,2023,0,0,0,1,22,0,0,0,0,0,,,0,,,0,,,Wisconsin,VanxCo00
2021,6,Isaiah McDuffie,220,LB,2023,0,0,0,3,38,0,0,0,0,0,,,0,,,0,,,Boston Col.,McDuIs00
2021,7,Kylin Hill,256,RB,2022,0,0,0,0,10,0,0,0,0,0,11,31,0,1,5,0,,,Mississippi St.,HillKy00
2020,1,Jordan Love,26,QB,2023,0,0,0,3,18,205,343,2326,15,11,42,197,2,,,0,,,Utah St.,LoveJo03
2020,2,AJ Dillon,62,RB,2023,0,0,0,17,53,0,0,0,0,0,513,2121,15,75,643,2,,,Boston Col.,DillAJ00
2020,3,Josiah Deguara,94,TE,2023,0,0,0,3,43,0,0,0,0,0,,,0,47,436,2,,,Cincinnati,DeguJo00
2020,5,Kamal Martin,175,LB,2021,0,0,0,4,16,0,0,0,0,0,,,0,,,0,,1.0,Minnesota,MartKa01
2020,6,Jon Runyan Jr.,192,T,2023,0,0,2,18,58,0,0,0,0,0,,,0,,,0,,,Michigan,RunyJo00
2020,6,Jake Hanson,208,C,2022,0,0,0,1,11,0,0,0,0,0,,,0,,,0,,,Oregon,HansJa00
2020,6,Simon Stepaniak,209,T,,0,0,0,,,,,,,,,,,,,,,,Indiana,StepSi00
2020,7,Vernon Scott,236,S,2021,0,0,0,1,18,0,0,0,0,0,,,0,,,0,,1.0,TCU,ScotVe00
2020,7,Jonathan Garvin,242,DE,2022,0,0,0,3,38,0,0,0,0,0,,,0,,,0,,1.5,Miami (FL),GarvJo00
2019,1,Rashan Gary,12,LB,2023,0,0,2,15,64,0,0,0,0,0,,,0,,,0,,27.0,Michigan,GaryRa00
2019,1,Darnell Savage Jr.,21,S,2023,0,0,4,19,68,0,0,0,0,0,,,0,,,0,9,1.0,Maryland,SavaDa00
