Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Bryce Young,1,QB,2023,0,0,0,0,8,182,290,1560,8,7,20,135,0,,,0,,,Alabama,YounBr01
2023,2,Jonathan Mingo,39,WR,2023,0,0,0,0,8,0,0,0,0,0,,,0,23,220,0,,,Mississippi,MingJo00
2023,3,DJ Johnson,80,OLB,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Oregon,JohnDJ00
2023,4,Chandler Zavala,114,G,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,North Carolina St.,ZavaCh00
2023,5,Jammie Robinson,145,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Florida St.,RobiJa03
2022,1,Ikem Ekwonu,6,T,2023,0,0,1,7,26,0,0,0,0,0,,,0,,,0,,,North Carolina St.,EkwoIk00
2022,3,Matt Corral,94,QB,,0,0,0,,,,,,,,,,,,,,,,Mississippi,CorrMa00
2022,4,Brandon Smith,120,LB,2022,0,0,0,1,12,0,0,0,0,0,,,0,,,0,,,Penn St.,SmitBr08
2022,6,Amare Barno,189,DE,2023,0,0,0,1,18,0,0,0,0,0,,,0,,,0,,2.0,Virginia Tech,BarnAm00
2022,6,Cade Mays,199,OL,2023,0,0,0,1,20,0,0,0,0,0,,,0,,,0,,,Tennessee,MaysCa00
2022,7,Kalon Barnes,242,CB,2022,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Baylor,BarnKa00
2021,1,Jaycee Horn,8,DB,2023,0,0,1,6,17,0,0,0,0,0,,,0,,,0,4,,South Carolina,HornJa00
2021,2,Terrace Marshall Jr.,59,WR,2023,0,0,1,5,35,0,0,0,0,0,,,0,63,762,1,,,LSU,MarsTe00
2021,3,Brady Christensen,70,OL,2023,0,0,1,10,34,0,0,0,0,0,,,0,,,0,,,BYU,ChriBr00
2021,3,Tommy Tremble,83,TE,2023,0,0,1,3,42,0,0,0,0,0,3,11,1,50,427,6,,,Notre Dame,TremTo00
2021,4,Chuba Hubbard,126,RB,2023,0,0,0,9,41,0,0,0,0,0,361,1429,8,60,455,1,,,Oklahoma St.,HubbCh01
2021,5,Daviyon Nixon,158,DT,2022,0,0,0,1,14,0,0,0,0,0,,,0,,,0,,0.5,Iowa,NixoDa00
2021,5,Keith Taylor,166,DB,2022,0,0,0,4,34,0,0,0,0,0,,,0,,,0,,,Washington,TaylKe03
2021,6,Deonte Brown,193,OL,2021,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Alabama,BrowDe06
2021,6,Shi Smith,204,WR,2022,0,0,0,4,23,0,0,0,0,0,1,-3,0,28,400,2,,,South Carolina,SmitSh03
2021,6,Thomas Fletcher,222,LS,,0,0,0,,,,,,,,,,,,,,,,Alabama,FletTh00
2021,7,Phil Hoskins,232,DT,2022,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,1.0,Kentucky,HoskPh00
2020,1,Derrick Brown,7,DT,2023,0,0,3,19,58,0,0,0,0,0,,,0,,,0,1,7.0,Auburn,BrowDe05
2020,2,Yetur Gross-Matos,38,DE,2023,0,0,1,14,49,0,0,0,0,0,,,0,,,0,,11.0,Penn St.,GrosYe00
2020,2,Jeremy Chinn,64,S,2023,0,0,3,30,48,0,0,0,0,0,2,29,0,,,0,2,4.0,Southern Illinois,ChinJe00
2020,4,Troy Pride Jr.,113,CB,2023,0,0,0,3,15,0,0,0,0,0,,,0,,,0,,,Notre Dame,PridTr00
2020,5,Kenny Robinson Jr.,152,S,2021,0,0,0,1,19,0,0,0,0,0,,,0,,,0,,,West Virginia,RobiKe02
2020,6,Bravvion Roy,184,DT,2022,0,0,1,9,45,0,0,0,0,0,,,0,,,0,1,1.0,Baylor,RoyxBr00
