Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Christian Gonzalez,17,DB,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,1,1.0,Oregon,GonzCh00
2023,2,Keion White,46,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Georgia Tech,WhitKe03
2023,3,Marte Mapu,76,DB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Sacramento St.,MapuMa00
2023,4,Jake Andrews,107,OL,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Troy,AndrJa00
2023,4,Chad Ryland,112,K,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Maryland,RylaCh00
2023,4,Sidy Sow,117,OL,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,East. Michigan,SowxSi00
2023,5,Atonio Mafi,144,OL,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,UCLA,MafiAt00
2023,6,Kayshon Boutte,187,WR,2023,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,LSU,BoutKa00
2023,6,Bryce Baringer,192,P,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Michigan St.,BariBr00
2023,6,Demario Douglas,210,WR,2023,0,0,0,0,8,0,0,0,0,0,4,29,0,24,277,0,,,Liberty,DougDe00
2023,6,Ameer Speed,214,CB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Michigan St.,SpeeAm00
2023,7,Isaiah Bolden,245,CB,,0,0,0,,,,,,,,,,,,,,,,Jackson St.,BoldIs00
2022,1,Cole Strange,29,OL,2023,0,0,1,7,22,0,0,0,0,0,,,0,0,3,0,,,Chattanooga,StraCo01
2022,2,Tyquan Thornton,50,WR,2023,0,0,1,2,16,0,0,0,0,0,3,16,1,25,262,2,,,Baylor,ThorTy00
2022,3,Marcus Jones,85,CB,2023,1,0,0,10,17,0,0,0,0,0,,,0,4,78,1,2,,Houston,JoneMa06
2022,4,Jack Jones,121,DB,2023,0,0,0,2,17,0,0,0,0,0,,,0,,,0,2,,Arizona St.,JoneJa10
2022,4,Pierre Strong,127,RB,2023,0,0,0,1,23,0,0,0,0,0,44,252,2,9,76,0,,,South Dakota St.,StroPi00
2022,4,Bailey Zappe,137,QB,2023,0,0,0,2,6,72,110,860,5,3,10,0,0,1,-6,0,,,Western Kentucky,ZappBa00
2022,6,Kevin Harris,183,RB,2022,0,0,0,0,5,0,0,0,0,0,18,52,1,,,0,,,South Carolina,HarrKe01
2022,6,Sam Roberts,200,DE,2023,0,0,0,0,11,0,0,0,0,0,,,0,,,0,,,NW Missouri St.,RobeSa00
2022,6,Chasen Hines,210,G,,0,0,0,,,,,,,,,,,,,,,,LSU,HineCh00
2022,7,Andrew Stueber,245,OL,,0,0,0,,,,,,,,,,,,,,,,Michigan,StueAn00
2021,1,Mac Jones,15,QB,2023,0,1,2,22,40,837,1267,8659,46,33,114,302,1,,,0,,,Alabama,JoneMa05
2021,2,Christian Barmore,38,DL,2023,0,0,0,5,36,0,0,0,0,0,,,0,,,0,,7.0,Alabama,BarmCh00
2021,3,Ronnie Perkins,96,DE,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Oklahoma,PerkRo00
2021,4,Rhamondre Stevenson,120,RB,2023,0,0,0,14,38,0,0,0,0,0,449,2040,13,112,759,1,,,Oklahoma,StevRh00
2021,5,Cameron McGrone,177,LB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Michigan,McGrCa00
2021,6,Joshuah Bledsoe,188,S,2022,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Missouri,BledJo00
2021,6,William Sherman,197,OL,2021,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Colorado,SherWi01
2021,7,Tre Nixon,242,WR,,0,0,0,,,,,,,,,,,,,,,,Central Florida,NixoTr01
2020,2,Kyle Dugger,37,S,2023,0,0,2,14,53,0,0,0,0,0,,,0,,,0,9,2.0,Lenoir-Rhyne,DuggKy00
2020,2,Josh Uche,60,LB,2023,0,0,0,5,43,0,0,0,0,0,,,0,,,0,,17.5,Michigan,UcheJo00
2020,3,Anfernee Jennings,87,LB,2023,0,0,0,6,37,0,0,0,0,0,,,0,,,0,,1.5,Alabama,JennAn00
2020,3,Devin Asiasi,91,TE,2022,0,0,0,0,22,0,0,0,0,0,,,0,4,44,1,,,UCLA,AsiaDe00
2020,3,Dalton Keene,101,TE,2020,0,0,0,0,6,0,0,0,0,0,,,0,3,16,0,,,Virginia Tech,KeenDa00
2020,5,Justin Rohrwasser,159,K,,0,0,0,,,,,,,,,,,,,,,,Marshall,RohrJu00
2020,6,Michael Onwenu,182,G,2023,0,0,2,18,56,0,0,0,0,0,,,0,,,0,,,Michigan,OnweMi00
2020,6,Justin Herron,195,T,2023,0,0,0,6,31,0,0,0,0,0,,,0,,,0,,,Wake Forest,HerrJu00
2020,6,Cassh Maluia,204,LB,2020,0,0,0,1,9,0,0,0,0,0,,,0,,,0,,,Wyoming,MaluCa00
2020,7,Dustin Woodard,230,C,,0,0,0,,,,,,,,,,,,,,,,Memphis,WoodDu01
2019,1,N'Keal Harry,32,WR,2023,0,0,1,7,46,0,0,0,0,0,7,49,0,64,714,5,,,Arizona St.,HarrNK00
2019,2,Joejuan Williams,45,CB,2023,0,0,0,3,40,0,0,0,0,0,,,0,,,0,,,Vanderbilt,WillJo13
2019,3,Chase Winovich,77,DE,2023,0,0,0,11,56,0,0,0,0,0,,,0,,,0,1,12.0,Michigan,WinoCh00
2019,3,Damien Harris,87,RB,2023,0,0,3,15,44,0,0,0,0,0,472,2188,21,42,297,0,,,Alabama,HarrDa06
2019,3,Yodny Cajuste,101,T,2022,0,0,0,4,17,0,0,0,0,0,,,0,,,0,,,West Virginia,CajuYo00
2019,4,Hjalte Froholdt,118,G,2023,0,0,0,3,40,0,0,0,0,0,,,0,,,0,,,Arkansas,FrohHj00
2019,4,Jarrett Stidham,133,QB,2022,0,0,0,4,13,77,131,926,6,7,23,89,0,,,0,,,Auburn,StidJa00
2019,5,Byron Cowart,159,DT,2022,0,0,1,10,36,0,0,0,0,0,,,0,,,0,,1.0,Maryland,CowaBy00
2019,5,Jake Bailey,163,P,2023,1,1,1,7,67,0,0,0,0,0,,,0,,,0,,,Stanford,BailJa00
2019,7,Ken Webster,252,CB,2020,0,0,0,3,17,0,0,0,0,0,,,0,,,0,,,Mississippi,WebsKe00
2018,1,Isaiah Wynn,23,T,2023,0,0,3,19,50,0,0,0,0,0,,,0,,,0,,,Georgia,WynnIs00
2018,1,Sony Michel,31,RB,2022,0,0,2,21,65,0,0,0,0,0,779,3243,18,56,439,2,,,Georgia,MichSo00
2018,2,Duke Dawson,56,CB,2020,0,0,0,3,26,0,0,0,0,0,,,0,,,0,,,Florida,DawsDu00
2018,5,Ja'Whaun Bentley,143,ILB,2023,0,0,3,28,74,0,0,0,0,0,,,0,,,0,2,8.5,Purdue,BentJa00
2018,6,Christian Sam,178,ILB,,0,0,0,,,,,,,,,,,,,,,,Arizona St.,SamxCh00
2018,6,Braxton Berrios,210,WR,2023,1,0,0,10,74,1,1,2,1,0,20,171,4,127,1279,6,,,Miami (FL),BerrBr00
2018,7,Danny Etling,219,QB,,0,0,0,,,,,,,,,,,,,,,,LSU,EtliDa00
2018,7,Keion Crossen,243,CB,2022,0,0,0,6,75,0,0,0,0,0,,,0,0,0,0,,1.0,Western Carolina,CrosKe00
2018,7,Ryan Izzo,250,TE,2021,0,0,1,3,19,0,0,0,0,0,,,0,19,313,1,,,Florida St.,IzzoRy00
2017,3,Derek Rivers,83,DE,2021,0,0,0,4,24,0,0,0,0,0,,,0,,,0,,3.5,Youngstown St.,RiveDe00
