Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Tyree Wilson,7,OLB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,1.5,Texas Tech,WilsTy01
2023,2,Michael Mayer,35,TE,2023,0,0,0,0,9,0,0,0,0,0,,,0,13,159,0,,,Notre Dame,MayeMi00
2023,3,Byron Young,70,DL,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Alabama,YounBy00
2023,3,Tre Tucker,100,WR,2023,0,0,0,0,8,0,0,0,0,0,5,60,0,6,125,0,,,Cincinnati,TuckTr00
2023,4,Jakorian Bennett,104,DB,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Maryland,BennJa00
2023,4,Aidan O'Connell,135,QB,2023,0,0,0,0,3,50,77,522,1,2,3,3,1,,,0,,,Purdue,OConAi00
2023,5,Christopher Smith,170,DB,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Georgia,SmitCh04
2023,6,Amari Burney,203,LB,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Florida,BurnAm00
2023,7,Nesta Jade Silvera,231,DT,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Arizona St.,JadeNe00
2022,3,Dylan Parham,90,OL,2023,0,0,1,7,26,0,0,0,0,0,,,0,,,0,,,Memphis,ParhDy00
2022,4,Zamir White,122,RB,2023,0,0,0,0,23,0,0,0,0,0,33,111,0,6,38,0,,,Georgia,WhitZa01
2022,4,Neil Farrell,126,DT,2023,0,0,0,1,11,0,0,0,0,0,,,0,,,0,,,LSU,FarrNe00
2022,5,Matthew Butler,175,DT,2022,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,0.5,Tennessee,ButlMa02
2022,7,Thayer Munford,238,OL,2023,0,0,0,3,25,0,0,0,0,0,,,0,,,0,,,Ohio St.,MunfTh00
2022,7,Brittain Brown,250,RB,2022,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,UCLA,BrowBr06
2021,1,Alex Leatherwood,17,OL,2022,0,0,1,8,21,0,0,0,0,0,,,0,,,0,,,Alabama,LeatAl00
2021,2,Tre'von Moehrig,43,S,2023,0,0,2,9,41,0,0,0,0,0,,,0,,,0,3,2.0,TCU,MoehTr00
2021,3,Malcolm Koonce,79,DE,2023,0,0,0,1,31,0,0,0,0,0,,,0,,,0,,3.0,Buffalo,KoonMa00
2021,3,Divine Deablo,80,DB,2023,0,0,0,8,32,0,0,0,0,0,,,0,,,0,,1.0,Virginia Tech,DeabDi00
2021,4,Tyree Gillespie,143,S,2022,0,0,0,1,14,0,0,0,0,0,,,0,,,0,,,Missouri,GillTy00
2021,5,Nate Hobbs,167,CB,2023,0,0,1,6,32,0,0,0,0,0,,,0,,,0,2,3.0,Illinois,HobbNa00
2021,7,Jimmy Morrissey,230,OL,2023,0,0,0,1,14,0,0,0,0,0,,,0,,,0,,,Pittsburgh,MorrJi00
2020,1,Henry Ruggs III,12,WR,2021,0,0,1,8,20,0,0,0,0,0,12,65,0,50,921,4,,,Alabama,RuggHe00
2020,1,Damon Arnette,19,CB,2021,0,0,0,2,13,0,0,0,0,0,,,0,,,0,,,Ohio St.,ArneDa00
2020,3,Lynn Bowden Jr.,80,WR,2023,0,0,0,2,18,1,2,32,0,0,9,32,0,28,211,0,,,Kentucky,BowdLy00
2020,3,Bryan Edwards,81,WR,2022,0,0,1,6,35,0,0,0,0,0,1,0,0,48,779,4,,,South Carolina,EdwaBr01
