Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,2,Steve Avila,36,C,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,TCU,AvilSt00
2023,3,Byron Young,77,LB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,5.0,Tennessee,YounBy01
2023,3,Kobie Turner,89,DT,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,2.0,Wake Forest,TurnKo00
2023,4,Stetson Bennett,128,QB,,0,0,0,,,,,,,,,,,,,,,,Georgia,BennSt00
2023,5,Nick Hampton,161,OLB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Appalachian St.,HampNi00
2023,5,Warren McClendon,174,OL,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Georgia,McClWa00
2023,5,Davis Allen,175,TE,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Clemson,AlleDa02
2023,5,Puka Nacua,177,WR,2023,0,0,0,0,9,0,0,0,0,0,2,4,0,64,827,2,,,BYU,NacuPu00
2023,6,Tre'Vius Tomlinson,182,CB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,TCU,HodgTr00
2023,6,Ochaun Mathis,189,DE,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Nebraska,MathOc00
2023,6,Zach Evans,215,RB,2023,0,0,0,0,4,0,0,0,0,0,4,10,0,,,0,,,Mississippi,EvanZa00
2023,7,Ethan Evans,223,P,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Wingate,EvanEt00
2023,7,Jason Taylor,234,S,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Oklahoma St.,TaylJa05
2023,7,Desjuan Johnson,259,DT,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Toledo,JohnDe08
2022,3,Logan Bruss,104,OL,,0,0,0,,,,,,,,,,,,,,,,Wisconsin,BrusLo00
2022,4,Cobie Durant,142,DB,2023,0,0,0,2,22,0,0,0,0,0,,,0,,,0,3,1.0,South Carolina St.,DuraDe01
2022,5,Kyren Williams,164,RB,2023,0,0,0,2,16,0,0,0,0,0,132,595,6,22,181,1,,,Notre Dame,WillKy02
2022,6,Quentin Lake,211,DB,2023,0,0,0,0,18,0,0,0,0,0,,,0,,,0,,1.0,UCLA,LakeQu00
2022,6,Derion Kendrick,212,DB,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,,Georgia,KendDe00
2022,7,Daniel Hardy,235,LB,2022,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,Montana St.,HardDa01
2022,7,Russ Yeast,253,DB,2023,0,0,0,1,24,0,0,0,0,0,,,0,,,0,,,Kansas St.,YeasRu00
2022,7,AJ Arcuri,261,OT,2022,0,0,0,1,8,0,0,0,0,0,,,0,,,0,,,Michigan St.,ArcuAJ00
2021,2,Tutu Atwell,57,WR,2023,0,0,0,3,30,0,0,0,0,0,13,69,1,50,672,4,,,Louisville,AtweTu00
2021,3,Ernest Jones,103,LB,2023,0,0,1,9,40,0,0,0,0,0,,,0,,,0,3,2.0,South Carolina,JoneEr01
2021,4,Bobby Brown,117,DL,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,,Texas A&M,BrowBo04
2021,4,Robert Rochell,130,DB,2023,0,0,0,3,29,0,0,0,0,0,,,0,,,0,1,,Central Arkansas,RochRo00
2021,4,Jacob Harris,141,WR,2023,0,0,0,0,18,0,0,0,0,0,,,0,1,6,0,,,Central Florida,HarrJa03
2021,5,Earnest Brown IV,174,DE,2023,0,0,0,1,9,0,0,0,0,0,,,0,,,0,,,Northwestern,BrowEa00
2021,7,Jake Funk,233,RB,2023,0,0,0,0,20,0,0,0,0,0,4,15,0,1,12,0,,,Maryland,FunkJa00
2021,7,Ben Skowronek,249,WR,2023,0,0,1,5,37,0,0,0,0,0,3,26,1,53,542,1,,,Notre Dame,SkowBe00
2021,7,Chris Garrett,252,DE,2021,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Concordia-St.Paul (MN),GarrCh00
2020,2,Cam Akers,52,RB,2023,0,0,1,10,36,0,0,0,0,0,398,1581,11,38,320,1,,,Florida St.,AkerCa00
2020,2,Van Jefferson,57,WR,2023,0,0,2,13,53,0,0,0,0,0,4,23,0,106,1542,10,,,Florida,JeffVa00
2020,3,Terrell Lewis,84,LB,2022,0,0,0,5,30,0,0,0,0,0,,,0,,,0,1,6.0,Alabama,LewiTe00
2020,3,Terrell Burgess,104,S,2023,0,0,0,2,35,0,0,0,0,0,,,0,,,0,,,Utah,BurgTe00
2020,4,Brycen Hopkins,136,TE,2023,0,0,0,1,33,0,0,0,0,0,,,0,11,149,0,,,Purdue,HopkBr01
2020,6,Jordan Fuller,199,S,2023,0,0,2,10,40,0,0,0,0,0,,,0,,,0,5,,Ohio St.,FullJo01
2020,7,Clay Johnston,234,LB,2022,0,0,0,2,31,0,0,0,0,0,,,0,,,0,,,Baylor,JohnCl00
2020,7,Sam Sloman,248,K,2020,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Miami (OH),SlomSa00
2020,7,Tremayne Anchrum,250,G,2023,0,0,0,1,23,0,0,0,0,0,,,0,,,0,,,Clemson,AnchTr00
2019,2,Taylor Rapp,61,S,2023,0,0,3,18,66,0,0,0,0,0,,,0,,,0,9,1.5,Washington,RappTa00
2019,3,Darrell Henderson,70,RB,2023,0,0,1,13,53,0,0,0,0,0,436,1853,14,72,549,4,,,Memphis,HendDa00
2019,3,David Long,79,CB,2023,0,0,0,6,61,0,0,0,0,0,,,0,0,0,0,1,,Michigan,LongDa02
2019,3,Bobby Evans,97,T,2022,0,0,0,7,35,0,0,0,0,0,,,0,,,0,,,Oklahoma,EvanBo00
2019,4,Greg Gaines,134,DT,2023,0,0,2,13,67,0,0,0,0,0,,,0,,,0,,10.5,Washington,GainGr00
2019,5,David Edwards,169,T,2023,0,0,2,23,62,0,0,0,0,0,,,0,,,0,,,Wisconsin,EdwaDa01
2019,7,Nick Scott,243,S,2023,0,0,1,8,72,0,0,0,0,0,1,6,0,1,23,0,4,,Penn St.,ScotNi01
2019,7,Dakota Allen,251,LB,2022,0,0,0,2,38,0,0,0,0,0,,,0,,,0,,,Texas Tech,AlleDa01
2018,3,Joseph Noteboom,89,T,2023,0,0,0,12,60,0,0,0,0,0,,,0,,,0,,,TCU,NoteJo00
2018,4,Brian Allen,111,C,2023,0,0,2,16,46,0,0,0,0,0,,,0,,,0,,,Michigan St.,AlleBr02
2018,4,John Franklin-Myers,135,DE,2023,0,0,2,18,72,0,0,0,0,0,,,0,,,0,1,18.0,S.F. Austin,FranJo02
2018,5,Micah Kiser,147,ILB,2021,0,0,0,8,36,0,0,0,0,0,,,0,,,0,,,Virginia,KiseMi00
2018,5,Ogbonnia Okoronkwo,160,DE,2023,0,0,0,8,58,0,0,0,0,0,,,0,,,0,,12.0,Oklahoma,OkorOg00
2018,6,John Kelly,176,RB,2022,0,0,0,1,13,0,0,0,0,0,32,96,0,2,27,0,,,Tennessee,KellJo00
2018,6,Jamil Demby,192,T,2019,0,0,0,1,6,0,0,0,0,0,,,0,,,0,,,Maine,DembJa00
2018,6,Sebastian Joseph-Day,195,DT,2023,0,0,2,26,63,0,0,0,0,0,,,0,,,0,1,10.0,Rutgers,JoseSe00
2018,6,Trevon Young,205,DE,2018,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Louisville,YounTr00
2018,7,Travin Howard,231,OLB,2022,0,0,0,3,29,0,0,0,0,0,,,0,,,0,1,,TCU,HowaTr00
2018,7,Justin Lawler,244,DE,2021,0,0,0,1,19,0,0,0,0,0,,,0,,,0,,,SMU,LawlJu00
2017,2,Gerald Everett,44,TE,2023,0,0,2,20,99,0,0,0,0,0,11,55,1,254,2589,18,,,South Alabama,EverGe00
2017,3,Cooper Kupp,69,WR,2023,1,1,5,52,85,0,4,0,0,0,23,132,1,531,6693,47,,,East. Washington,KuppCo00
2017,3,John Johnson,91,S,2023,0,0,5,26,95,0,0,0,0,0,,,0,,,0,12,1.0,Boston Col.,JohnJo10
2017,4,Josh Reynolds,117,WR,2023,0,0,2,19,98,0,0,0,0,0,8,36,0,202,2722,17,,,Texas A&M,ReynJo00
2017,4,Samson Ebukam,125,OLB,2023,0,0,5,31,105,0,0,0,0,0,,,0,,,0,1,27.5,East. Washington,EbukSa00
2017,6,Tanzel Smart,189,DT,2023,0,0,0,4,38,0,0,0,0,0,,,0,,,0,,,Tulane,SmarTa00
2017,6,Sam Rogers,206,FB,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech,RogeSa00
2017,7,Ejuan Price,234,DE,2017,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Pittsburgh,PricEj00
2016,1,Jared Goff,1,QB,2023,0,3,6,71,108,2450,3795,28028,167,75,227,487,12,1,5,0,,,California,GoffJa00
2016,4,Tyler Higbee,110,TE,2023,0,0,7,25,119,0,0,0,0,0,1,1,0,332,3393,20,,,Western Kentucky,HigbTy00
2016,4,Pharoh Cooper,117,WR,2022,1,1,0,6,75,0,1,0,0,1,7,26,0,61,545,1,,,South Carolina,CoopPh00
2016,6,Temarrick Hemingway,177,TE,2021,0,0,0,0,23,0,0,0,0,0,,,0,1,10,0,,,South Carolina St.,HemiTe00
2016,6,Josh Forrest,190,ILB,2017,0,0,0,2,12,0,0,0,0,0,,,0,,,0,,,Kentucky,ForrJo00
2016,6,Mike Thomas,206,WR,2022,0,0,0,2,76,0,0,0,0,0,1,1,0,30,366,1,,,Southern Miss,ThomMi04
2015,1,Todd Gurley,10,RB,2020,2,3,6,54,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,Georgia,GurlTo01
2015,2,Rob Havenstein,57,T,2023,0,0,8,50,123,0,0,0,0,0,,,0,,,0,,,Wisconsin,HaveRo00
2015,3,Jamon Brown,72,T,2020,0,0,3,21,62,0,0,0,0,0,,,0,,,0,,,Louisville,BrowJa04
2015,3,Sean Mannion,89,QB,2021,0,0,0,2,14,67,110,573,1,3,25,-3,0,,,0,,,Oregon St.,MannSe00
2015,4,Andrew Donnal,119,T,2019,0,0,0,4,31,0,0,0,0,0,,,0,,,0,,,Iowa,DonnAn00
2015,6,Bud Sasser,201,WR,,0,0,0,,,,,,,,,,,,,,,,Missouri,SassBu00
2015,6,Cody Wichmann,215,G,2016,0,0,2,6,24,0,0,0,0,0,,,0,,,0,,,Fresno St.,WichCo00
2015,7,Bryce Hager,224,ILB,2020,0,0,0,7,79,0,0,0,0,0,,,0,,,0,,0.5,Baylor,HageBr00
2015,7,Martin Ifedi,227,DE,,0,0,0,,,,,,,,,,,,,,,,Memphis,IfedMa00
2014,1,Greg Robinson,2,T,2019,0,0,5,24,83,0,0,0,0,0,,,0,,,0,,,Auburn,RobiGr01
2014,1,Aaron Donald,13,DT,2023,7,9,9,115,147,0,0,0,0,0,,,0,,,0,,108.5,Pittsburgh,DonaAa00
2014,2,Lamarcus Joyner,41,DB,2022,0,0,4,26,110,0,0,0,0,0,,,0,,,0,7,5.0,Florida St.,JoynLa00
2014,3,Tre Mason,75,RB,2015,0,0,1,8,25,0,0,0,0,0,254,972,5,34,236,1,,,Auburn,MasoTr00
2014,4,Maurice Alexander,110,DB,2019,0,0,1,11,57,0,0,0,0,0,,,0,,,0,2,3.0,Utah St.,AlexMa00
2014,6,E.J. Gaines,188,DB,2018,0,0,3,13,43,0,0,0,0,0,,,0,,,0,4,,Missouri,GainE.00
2014,6,Garrett Gilbert,214,QB,2021,0,0,0,2,8,43,75,477,1,1,6,25,0,,,0,,,SMU,GilbGa01
2014,7,Mitchell Van Dyk,226,OL,,0,0,0,,,,,,,,,,,,,,,,Portland St.,VanDMi00
2014,7,C.B. Bryant,241,DB,2016,0,0,0,1,12,0,0,0,0,0,,,0,,,0,,,Ohio St.,BryaC.00
2014,7,Michael Sam,249,DE,,0,0,0,,,,,,,,,,,,,,,,Missouri,SamxMi00
2014,7,Demetrius Rhaney,250,OL,2017,0,0,0,2,33,0,0,0,0,0,,,0,,,0,,,Tennessee St.,RhanDe00
2013,1,Tavon Austin,8,WR,2021,0,0,4,26,113,0,1,0,0,0,199,1361,10,244,2239,16,,,West Virginia,AustTa00
2013,1,Alec Ogletree,30,LB,2021,0,0,7,52,111,0,0,0,0,0,,,0,,,0,12,7.5,Georgia,OgleAl00
2013,3,T.J. McDonald,71,DB,2018,0,0,6,24,75,0,0,0,0,0,,,0,,,0,8,5.0,USC,McDoTJ00
2013,3,Stedman Bailey,92,WR,2015,0,0,0,7,38,0,0,0,0,0,3,46,1,59,843,2,,,West Virginia,BailSt01
2013,4,Barrett Jones,113,G,2014,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Alabama,JoneBa00
2013,5,Brandon McGee,149,DB,2015,0,0,0,1,18,0,0,0,0,0,,,0,,,0,,,Miami (FL),McGeBr00
2013,5,Zac Stacy,160,RB,2015,0,0,1,11,35,0,0,0,0,0,357,1355,9,53,358,1,,,Vanderbilt,StacZa00
2012,1,Michael Brockers,14,DT,2022,0,0,10,58,160,0,0,0,0,0,,,0,,,0,,29.0,LSU,BrocMi00
2012,2,Brian Quick,33,WR,2018,0,0,0,11,84,0,0,0,0,0,,,0,114,1593,10,,,Appalachian St.,QuicBr00
2012,2,Jackrabbit Jenkins,39,DB,2022,0,1,10,51,144,0,0,0,0,0,,,0,,,0,27,2.0,North Alabama,JenkJa03
2012,2,Isaiah Pead,50,RB,2016,0,0,0,1,30,0,0,0,0,0,27,100,0,15,100,0,,,Cincinnati,PeadIs00
2012,3,Trumaine Johnson,65,DB,2019,0,0,5,30,102,0,0,0,0,0,,,0,,,0,23,,Montana,JohnTr05
2012,4,Chris Givens,96,WR,2015,0,0,2,12,60,0,0,0,0,0,11,42,0,107,1779,5,,,Wake Forest,GiveCh00
2012,5,Rokevious Watkins,150,G,2013,0,0,0,1,4,0,0,0,0,0,,,0,,,0,,,South Carolina,WatkRo00
2012,6,Greg Zuerlein,171,K,2023,1,1,1,26,175,0,0,0,0,0,,,0,,,0,,,Missouri Western St.,ZuerGr00
2012,7,Aaron Brown,209,LB,,0,0,0,,,,,,,,,,,,,,,,Hawaii,BrowAa01
2012,7,Daryl Richardson,252,RB,2016,0,0,0,7,27,0,0,0,0,0,169,697,0,38,284,0,,,Abilene Christian,RichDa00
2011,1,Robert Quinn,14,DE,2022,1,3,9,69,169,0,0,0,0,0,,,0,,,0,,102.0,North Carolina,QuinRo00
2011,2,Lance Kendricks,47,TE,2019,0,0,6,16,137,0,0,0,0,0,1,-8,0,244,2555,19,,,Wisconsin,KendLa00
2011,3,Austin Pettis,78,WR,2014,0,0,0,8,51,0,0,0,0,0,1,-6,0,107,1034,9,,,Boise St.,PettAu00
2011,4,Greg Salas,112,WR,2016,0,0,0,4,29,0,0,0,0,0,2,28,1,50,704,1,,,Hawaii,SalaGr00
2011,5,Jermale Hines,158,DB,2011,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Ohio St.,HineJe00
2011,7,Mikail Baker,216,DB,,0,0,0,,,,,,,,,,,,,,,,Baylor,BakeMi00
2011,7,Jabara Williams,228,LB,2011,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,S.F. Austin,WillJa12
2011,7,Jonathan Nelson,229,DB,2011,0,0,0,1,2,0,0,0,0,0,,,0,,,0,1,,Oklahoma,NelsJo01
2010,1,Sam Bradford,1,QB,2018,0,0,5,44,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,Oklahoma,BradSa00
2010,2,Rodger Saffold,33,T,2022,0,2,11,72,176,0,0,0,0,0,,,0,,,0,,,Indiana,SaffRo20
2010,3,Jerome Murphy,65,DB,2013,0,0,0,3,33,0,0,0,0,0,,,0,,,0,1,,South Florida,MurpJe99
2010,4,Mardy Gilyard,99,WR,2012,0,0,0,1,19,0,0,0,0,0,,,0,8,78,0,,,Cincinnati,GilyMa00
2010,5,Michael Hoomanawanui,132,TE,2017,0,0,3,5,87,0,0,0,0,0,1,0,0,57,646,8,,,Illinois,HoomMi00
2010,5,Hall Davis,149,DE,2012,0,0,0,0,3,0,0,0,0,0,,,0,,,0,,,Louisiana,DaviHa21
2010,6,Fendi Onobun,170,TE,2011,0,0,0,0,4,0,0,0,0,0,,,0,2,15,0,,,Arizona,OnobFe00
2010,6,Eugene Sims,189,DE,2016,0,0,1,17,99,0,0,0,0,0,,,0,,,0,2,12.0,West Texas A&M,SimsEu99
2010,7,Marquis Johnson,211,DB,2011,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Alabama,JohnMa99
2010,7,George Selvie,226,DE,2015,0,0,2,17,80,0,0,0,0,0,,,0,,,0,,14.0,South Florida,SelvGe99
2010,7,Josh Hull,254,LB,2013,0,0,0,3,39,0,0,0,0,0,,,0,,,0,,,Penn St.,HullJo99
2009,1,Jason Smith,2,T,2012,0,0,2,10,45,0,0,0,0,0,,,0,,,0,,,Baylor,SmitJa22
2009,2,James Laurinaitis,35,LB,2016,0,0,7,51,117,0,0,0,0,0,,,0,,,0,10,16.5,Ohio St.,LaurJa99
2009,3,Bradley Fletcher,66,DB,2015,0,0,3,24,73,0,0,0,0,0,,,0,,,0,8,1.0,Iowa,FletBr99
2009,4,Darell Scott,103,DT,2011,0,0,0,5,33,0,0,0,0,0,,,0,,,0,,,Clemson,ScotDo99
2009,5,Brooks Foster,160,WR,,0,0,0,,,,,,,,,,,,,,,,North Carolina,FostBr00
2009,6,Keith Null,196,QB,2009,0,0,0,1,4,73,119,566,3,9,5,6,0,,,0,,,West Texas A&M,NullKe00
2009,7,Chris Ogbonnaya,211,RB,2014,0,0,1,7,53,0,0,0,0,0,158,710,2,96,714,2,,,Texas,OgboCh00
2008,1,Chris Long,2,DE,2018,0,0,6,48,162,0,0,0,0,0,,,0,,,0,,70.0,Virginia,LongCh99
2008,2,Donnie Avery,33,WR,2014,0,0,4,21,77,0,0,0,0,0,20,114,1,218,2861,14,,,Houston,AverDo00
2008,3,John Greco,65,T,2018,0,0,5,29,132,0,0,0,0,0,,,0,,,0,,,Toledo,GrecJo20
2008,4,Justin King,101,DB,2012,0,0,1,9,38,0,0,0,0,0,,,0,,,0,1,1.0,Penn St.,KingJu99
2008,4,Keenan Burton,128,WR,2009,0,0,1,3,22,0,0,0,0,0,3,8,0,38,425,1,,,Kentucky,BurtKe00
2008,5,Roy Schuening,157,G,2008,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Oregon St.,SchuRo20
2008,7,Chris Chamberlain,228,DB,2011,0,0,1,11,59,0,0,0,0,0,,,0,,,0,1,2.0,Tulsa,ChamCh99
2008,7,David Vobora,252,LB,2011,0,0,1,8,40,0,0,0,0,0,,,0,,,0,,2.0,Idaho,VoboDa99
2007,1,Adam Carriker,13,DE,2012,0,0,3,22,65,0,0,0,0,0,,,0,,,0,,9.0,Nebraska,CarrAd99
2007,2,Brian Leonard,52,RB,2014,0,0,0,11,88,0,0,0,0,0,221,828,0,143,1008,1,,,Rutgers,LeonBr00
2007,3,Jonathan Wade,84,DB,2011,0,0,0,7,61,0,0,0,0,0,,,0,,,0,2,,Tennessee,WadeJo99
2007,5,Dustin Fry,139,C,2007,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Clemson,FryxDu20
2007,5,Clifton Ryan,154,DT,2010,0,0,2,13,49,0,0,0,0,0,,,0,,,0,,3.0,Michigan St.,RyanCl99
2007,6,Ken Shackleford,190,T,,0,0,0,,,,,,,,,,,,,,,,Georgia,-9999
2007,7,Keith Jackson,248,DT,,0,0,0,,,,,,,,,,,,,,,,Arkansas,-9999
2007,7,Derek Stanley,249,WR,2009,0,0,0,1,15,0,0,0,0,0,2,5,0,6,119,1,,,Wisconsin–Whitewater,StanDe00
2006,1,Tye Hill,15,DB,2010,0,0,0,9,40,0,0,0,0,0,,,0,,,0,5,,Clemson,HillTy20
2006,2,Joe Klopfenstein,46,TE,2009,0,0,3,3,49,0,0,0,0,0,,,0,34,397,2,,,Colorado,KlopJo00
2006,3,Claude Wroten,68,DT,2007,0,0,0,2,26,0,0,0,0,0,,,0,,,0,,1.5,LSU,WrotCl20
2006,3,Jon Alston,77,LB,2009,0,0,0,5,39,0,0,0,0,0,1,22,0,,,0,,,Stanford,AlstJo20
