Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Zay Flowers,22,WR,2023,0,0,0,0,9,0,0,0,0,0,6,12,0,45,472,1,,,Boston Col.,FlowZa00
2023,3,Trenton Simpson,86,LB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Clemson,SimpTr00
2023,4,Tavius Robinson,124,DE,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Mississippi,RobiTa00
2023,5,Kyu Blu Kelly,157,CB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Stanford,BluxKy00
2023,6,Malaesala Aumavae-Laulu,199,OL,,0,0,0,,,,,,,,,,,,,,,,Oregon,AumaMa00
2023,7,Andrew Vorhees,229,OL,,0,0,0,,,,,,,,,,,,,,,,USC,VorhAn00
2022,1,Kyle Hamilton,14,S,2023,0,0,0,2,25,0,0,0,0,0,,,0,,,0,1,5.0,Notre Dame,HamiKy00
2022,1,Tyler Linderbaum,25,OL,2023,0,0,1,7,24,0,0,0,0,0,,,0,,,0,,,Iowa,LindTy00
2022,2,David Ojabo,45,LB,2023,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,2.0,Michigan,OjabDa00
2022,3,Travis Jones,76,DT,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,1.0,Connecticut,JoneTr00
2022,4,Daniel Faalele,110,T,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,,Minnesota,FaalDa00
2022,4,Jalyn Armour-Davis,119,DB,2023,0,0,0,1,8,0,0,0,0,0,,,0,,,0,,,Alabama,ArmoJa00
2022,4,Charlie Kolar,128,TE,2023,0,0,0,0,9,0,0,0,0,0,,,0,4,49,0,,,Iowa St.,KolaCh00
2022,4,Jordan Stout,130,P,2023,0,0,1,2,26,0,0,0,0,0,,,0,,,0,,,Penn St.,StouJo00
2022,4,Isaiah Likely,139,TE,2023,0,0,0,4,25,0,0,0,0,0,,,0,44,457,3,,,Coastal Carolina,LikeIs00
2022,4,Damarion Williams,141,CB,2022,0,0,0,1,14,0,0,0,0,0,,,0,,,0,,,Houston,WillDa15
2022,6,Tyler Badie,196,RB,2022,0,0,0,0,1,0,0,0,0,0,1,0,0,1,24,1,,,Missouri,BadiTy00
2021,1,Rashod Bateman,27,WR,2023,0,0,0,7,26,0,0,0,0,0,1,18,0,78,980,3,,,Minnesota,BateRa00
2021,1,Odafe Oweh,31,DE,2023,0,0,0,7,37,0,0,0,0,0,,,0,,,0,,10.0,Penn St.,OwehJa00
2021,3,Ben Cleveland,94,OL,2023,0,0,0,3,29,0,0,0,0,0,,,0,,,0,,,Georgia,ClevBe00
2021,3,Brandon Stephens,104,CB,2023,0,0,1,7,41,0,0,0,0,0,,,0,,,0,2,0.5,SMU,StepBr01
2021,4,Tylan Wallace,131,WR,2023,0,0,0,0,30,0,0,0,0,0,,,0,6,56,0,,,Oklahoma St.,WallTy00
2021,5,Shaun Wade,160,CB,2023,0,0,0,0,14,0,0,0,0,0,,,0,,,0,,,Ohio St.,WadeSh00
2021,5,Daelin Hayes,171,DL,2021,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Notre Dame,HayeDa00
2021,5,Ben Mason,184,FB,,0,0,0,,,,,,,,,,,,,,,,Michigan,MasoBe00
2020,1,Patrick Queen,28,LB,2023,0,0,3,26,59,0,0,0,0,0,,,0,,,0,3,13.5,LSU,QueePa00
