Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Bryan Bresee,29,DT,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,1.5,Clemson,BresBr00
2023,2,Isaiah Foskey,40,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Notre Dame,FoskIs00
2023,3,Kendre Miller,71,RB,2023,0,0,0,0,7,0,0,0,0,0,28,83,0,9,111,0,,,TCU,MillKe01
2023,4,Nick Saldiveri,103,OL,2023,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Old Dominion,SaldNi00
2023,4,Jake Haener,127,QB,,0,0,0,,,,,,,,,,,,,,,,Fresno St.,HaenJa00
2023,5,Jordan Howden,146,DB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Minnesota,HowdJo00
2023,6,A.T. Perry,195,WR,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Wake Forest,PerrAT00
2022,1,Chris Olave,11,WR,2023,0,0,1,8,24,0,0,0,0,0,,,0,122,1605,6,,,Ohio St.,OlavCh00
2022,1,Trevor Penning,19,T,2023,0,0,0,1,15,0,0,0,0,0,,,0,,,0,,,Northern Iowa,PennTr00
2022,2,Alontae Taylor,49,DB,2023,0,0,1,3,22,0,0,0,0,0,,,0,,,0,,1.0,Tennessee,TaylAl01
2022,5,D'Marco Jackson,161,LB,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,Appalachian St.,JackDM00
2022,6,Jordan Jackson,194,DT,,0,0,0,,,,,,,,,,,,,,,,Air Force,JackJo06
2021,1,Payton Turner,28,DE,2023,0,0,0,2,14,0,0,0,0,0,,,0,,,0,,3.0,Houston,TurnPa02
2021,2,Pete Werner,60,LB,2023,0,0,1,10,36,0,0,0,0,0,,,0,,,0,1,0.5,Ohio St.,WernPe00
2021,3,Paulson Adebo,76,CB,2023,0,0,2,10,37,0,0,0,0,0,,,0,,,0,7,,Stanford,AdebPa00
2021,4,Ian Book,133,QB,2021,0,0,0,0,1,12,20,135,0,2,3,6,0,,,0,,,Notre Dame,BookIa00
2021,6,Landon Young,206,T,2023,0,0,0,3,32,0,0,0,0,0,,,0,,,0,,,Kentucky,YounLa00
2021,7,Kawaan Baker,255,WR,2021,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,South Alabama,BakeKa00
2020,1,Cesar Ruiz,24,C,2023,0,0,3,16,54,0,0,0,0,0,,,0,,,0,,,Michigan,RuizCe00
2020,3,Zack Baun,74,LB,2023,0,0,0,7,54,0,0,0,0,0,,,0,,,0,1,,Wisconsin,BaunZa00
