Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Devon Witherspoon,5,DB,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,1,2.0,Illinois,WithDe00
2023,1,Jaxon Smith-Njigba,20,WR,2023,0,0,0,0,8,0,0,0,0,0,,,0,29,272,2,,,Ohio St.,SmitJa06
2023,2,Derick Hall,37,DE,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Auburn,HallDe04
2023,2,Zach Charbonnet,52,RB,2023,0,0,0,0,7,0,0,0,0,0,32,170,0,9,52,0,,,UCLA,CharZa00
2023,4,Anthony Bradford,108,OL,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,LSU,BradAn00
2023,4,Cameron Young,123,DT,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Mississippi St.,YounCa00
2023,5,Mike Morris,151,DE,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Michigan,MorrMi00
2023,5,Olusegun Oluwatimi,154,C,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Michigan,OluwOl00
2023,6,Jerrick Reed,198,S,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,New Mexico,ReedJe00
2023,7,Kenny McIntosh,237,RB,,0,0,0,,,,,,,,,,,,,,,,Georgia,McInKe00
2022,1,Charles Cross,9,OL,2023,0,0,1,9,22,0,0,0,0,0,,,0,,,0,,,Mississippi St.,CrosCh00
2022,2,Boye Mafe,40,DE,2023,0,0,0,2,24,0,0,0,0,0,,,0,,,0,,9.0,Minnesota,MafeBo00
2022,2,Kenneth Walker III,41,RB,2023,0,0,1,8,23,0,0,0,0,0,354,1582,15,42,276,0,,,Michigan St.,WalkKe00
2022,3,Abraham Lucas,72,OL,2023,0,0,1,9,17,0,0,0,0,0,,,0,,,0,,,Washington St.,LucaAb00
2022,4,Coby Bryant,109,CB,2023,0,0,0,2,19,0,0,0,0,0,,,0,,,0,,2.0,Cincinnati,BryaCo01
2022,5,Riq Woolen,153,CB,2023,0,1,1,10,24,0,0,0,0,0,,,0,,,0,7,,Texas-San Antonio,WoolTa00
2022,5,Tyreke Smith,158,DE,2023,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Ohio St.,SmitTy03
2022,7,Bo Melton,229,WR,,0,0,0,,,,,,,,,,,,,,,,Rutgers,MeltBo00
2022,7,Dareke Young,233,WR,2022,0,0,0,0,13,0,0,0,0,0,,,0,2,24,0,,,Lenoir-Rhyne,YounDa02
2021,2,D'Wayne Eskridge,56,WR,2023,0,0,0,2,22,0,0,0,0,0,7,64,0,17,122,1,,,Western Michigan,EskrDW00
2021,4,Tre Brown,137,CB,2023,0,0,0,1,18,0,0,0,0,0,,,0,,,0,2,1.0,Oklahoma,BrowTr03
2021,6,Stone Forsythe,208,OL,2023,0,0,0,3,35,0,0,0,0,0,,,0,,,0,,,Florida,ForsSt00
2020,1,Jordyn Brooks,27,LB,2023,0,0,2,17,55,0,0,0,0,0,,,0,,,0,,5.5,Texas Tech,BrooJo01
2020,2,Darrell Taylor,48,DE,2023,0,0,0,6,40,0,0,0,0,0,,,0,,,0,,18.5,Tennessee,TaylDa00
2020,3,Damien Lewis,69,G,2023,0,0,3,20,52,0,0,0,0,0,,,0,,,0,,,LSU,LewiDa05
2020,4,Colby Parkinson,133,TE,2023,0,0,0,3,45,0,0,0,0,0,,,0,44,509,2,,,Stanford,ParkCo02
2020,4,DeeJay Dallas,144,RB,2023,0,0,0,6,52,0,1,0,0,1,107,446,4,59,381,1,,,Miami (FL),DallDe00
2020,5,Alton Robinson,148,DE,2021,0,0,0,3,30,0,0,0,0,0,,,0,,,0,,5.0,Syracuse,RobiAl03
2020,6,Freddie Swain,214,WR,2022,0,0,0,5,37,0,0,0,0,0,5,32,0,42,576,6,,,Florida,SwaiFr00
2020,7,Stephen Sullivan,251,TE,2023,0,0,0,0,21,0,0,0,0,0,,,0,7,87,0,,,LSU,SullSt00
2019,1,L.J. Collier,29,DE,2023,0,0,1,9,46,0,0,0,0,0,,,0,,,0,,3.0,TCU,CollLJ00
