Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Broderick Jones,14,OL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Georgia,JoneBr09
2023,2,Joey Porter Jr.,32,CB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,1,,Penn St.,PortJo02
2023,2,Keeanu Benton,49,NT,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,1.0,Wisconsin,BentKe00
2023,3,Darnell Washington,93,TE,2023,0,0,0,0,8,0,0,0,0,0,,,0,2,17,0,,,Georgia,WashDa03
2023,4,Nick Herbig,132,OLB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,1.0,Wisconsin,HerbNi00
2023,7,Cory Trice,241,CB,,0,0,0,,,,,,,,,,,,,,,,Purdue,TricCo00
2023,7,Spencer Anderson,251,OL,2023,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Maryland,AndeSp00
2022,1,Kenny Pickett,20,QB,2023,0,0,1,7,21,386,619,3894,13,13,81,258,4,,,0,,,Pittsburgh,PickKe00
2022,2,George Pickens,52,WR,2023,0,0,1,7,25,0,0,0,0,0,4,40,1,82,1322,7,,,Georgia,PickGe00
2022,3,DeMarvin Leal,84,DT,2023,0,0,0,2,18,0,0,0,0,0,,,0,,,0,,1.0,Texas A&M,LealDe00
2022,4,Calvin Austin,138,WR,2023,0,0,0,0,8,0,0,0,0,0,7,24,0,14,162,1,,,Memphis,AustCa00
2022,6,Connor Heyward,208,TE,2023,0,0,0,1,25,0,0,0,0,0,3,27,0,26,256,1,,,Michigan St.,HeywCo00
2022,7,Mark Robinson,225,LB,2023,0,0,0,1,12,0,0,0,0,0,,,0,,,0,,,Mississippi,RobiMa03
2022,7,Chris Oladokun,241,QB,,0,0,0,,,,,,,,,,,,,,,,South Dakota St.,OladCh00
2021,1,Najee Harris,24,RB,2023,0,1,2,16,42,1,1,4,0,0,679,2616,16,130,797,6,,,Alabama,HarrNa00
2021,2,Pat Freiermuth,55,TE,2023,0,0,0,10,36,0,0,0,0,0,,,0,131,1282,11,,,Penn St.,FreiPa00
2021,3,Kendrick Green,87,OL,2023,0,0,1,5,19,0,0,0,0,0,,,0,,,0,,,Illinois,GreeKe02
2021,4,Dan Moore,128,OL,2023,0,0,2,15,40,0,0,0,0,0,,,0,,,0,,,Texas A&M,MoorDa05
2021,4,Buddy Johnson,140,LB,2021,0,0,0,0,4,0,0,0,0,0,,,0,,,0,,,Texas A&M,JohnBu01
2021,5,Isaiahh Loudermilk,156,DE,2023,0,0,0,4,34,0,0,0,0,0,,,0,,,0,,1.0,Wisconsin,LoudIs00
