Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,C.J. Stroud,2,QB,2023,0,0,0,0,8,173,279,2270,14,1,20,78,1,1,0,0,,,Ohio St.,StroCJ00
2023,1,Will Anderson,3,LB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,2.0,Alabama,AndeWi01
2023,2,Juice Scruggs,62,OL,,0,0,0,,,,,,,,,,,,,,,,Penn St.,ScruJu00
2023,3,Tank Dell,69,WR,2023,0,0,0,0,7,0,0,0,0,0,9,26,0,28,454,4,,,Houston,DellNa00
2023,4,Dylan Horton,109,DL,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,TCU,HortDy00
2023,5,Henry To'oTo'o,167,LB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,Alabama,TooTHe00
2023,6,Jarrett Patterson,201,OL,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Notre Dame,PattJa03
2023,6,Xavier Hutchinson,205,WR,2023,0,0,0,0,8,0,0,0,0,0,3,27,0,1,9,0,,,Iowa St.,HutcXa00
2023,7,Brandon Hill,248,DB,,0,0,0,,,,,,,,,,,,,,,,Pittsburgh,HillBr03
2022,1,Derek Stingley Jr.,3,CB,2023,0,0,1,3,11,0,0,0,0,0,,,0,,,0,1,1.0,LSU,StinDe00
2022,1,Kenyon Green,15,OL,2022,0,0,1,5,15,0,0,0,0,0,,,0,,,0,,,Texas A&M,GreeKe03
2022,2,Jalen Pitre,37,S,2023,0,0,1,7,23,0,0,0,0,0,,,0,,,0,5,1.0,Baylor,PitrJa00
2022,2,John Metchie,44,WR,2023,0,0,0,0,7,0,0,0,0,0,,,0,7,86,0,,,Alabama,MetcJo00
2022,3,Christian Harris,75,LB,2023,0,0,1,6,19,0,0,0,0,0,,,0,,,0,1,2.0,Alabama,HarrCh06
2022,4,Dameon Pierce,107,RB,2023,0,0,1,6,20,0,0,0,0,0,329,1266,5,39,249,1,,,Florida,PierDa01
2022,5,Thomas Booker,150,DE,2022,0,0,0,1,10,0,0,0,0,0,,,0,,,0,,0.5,Stanford,BookTh00
2022,5,Teagan Quitoriano,170,TE,2023,0,0,0,1,16,0,0,0,0,0,,,0,9,146,2,,,Oregon St.,QuitTe00
2022,6,Austin Deculus,205,T,2023,0,0,0,0,12,0,0,0,0,0,,,0,,,0,,,LSU,DecuAu00
2021,3,Davis Mills,67,QB,2022,0,0,2,14,28,555,873,5782,33,25,50,152,2,,,0,,,Stanford,MillDa02
2021,3,Nico Collins,89,WR,2023,0,0,0,7,32,0,0,0,0,0,,,0,106,1558,7,,,Michigan,CollNi00
2021,5,Brevin Jordan,147,TE,2023,0,0,0,2,26,0,0,0,0,0,,,0,39,357,4,,,Miami (FL),JordBr00
2021,5,Garret Wallow,170,LB,2022,0,0,0,4,30,0,0,0,0,0,,,0,,,0,,1.0,TCU,WallGa00
2021,6,Roy Lopez,195,DL,2023,0,0,2,13,39,0,0,0,0,0,,,0,,,0,,2.0,Arizona,LopeRo00
2020,2,Ross Blacklock,40,DT,2023,0,0,0,4,41,0,0,0,0,0,,,0,,,0,,3.0,TCU,BlacRo00
2020,3,Jonathan Greenard,90,DE,2023,0,0,1,9,41,0,0,0,0,0,,,0,,,0,1,16.5,Florida,GreeJo04
2020,4,Charlie Heck,126,T,2022,0,0,1,8,35,0,0,0,0,0,,,0,0,8,0,,,North Carolina,HeckCh00
2020,4,John Reid,141,CB,2022,0,0,0,2,27,0,0,0,0,0,,,0,,,0,,,Penn St.,ReidJo00
2020,5,Isaiah Coulter,171,WR,2021,0,0,0,0,4,0,0,0,0,0,,,0,0,0,0,,,Rhode Island,CoulIs00
2019,1,Tytus Howard,23,T,2023,0,0,4,23,58,0,0,0,0,0,,,0,,,0,,,Alabama St.,HowaTy00
2019,2,Lonnie Johnson Jr.,54,CB,2023,0,0,0,9,63,0,0,0,0,0,,,0,,,0,4,,Kentucky,JohnLo01
2019,2,Max Scharping,55,T,2023,0,0,3,17,70,0,0,0,0,0,,,0,0,7,0,,,Northern Illinois,SchaMa01
