Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,-9999
2023,1,Jordan Addison,23,WR,2023,0,0,0,0,9,0,0,0,0,0,1,2,0,41,534,7,,,USC,AddiJo00
2023,3,Mekhi Blackmon,102,CB,2023,0,0,0,0,8,0,0,0,0,0,,,0,,,0,,,USC,BlacMe00
2023,4,Jay Ward,134,S,2023,0,0,0,0,9,0,0,0,0,0,,,0,,,0,,,LSU,WardJa00
2023,5,Jaquelin Roy,141,DT,2023,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,,LSU,RoyxJa00
2023,5,Jaren Hall,164,QB,2023,0,0,0,0,2,8,10,101,0,0,4,10,0,,,0,,,BYU,HallJa00
2023,7,DeWayne McBride,222,RB,,0,0,0,,,,,,,,,,,,,,,,Ala-Birmingham,McBrDe00
2022,1,Lewis Cine,32,DB,2023,0,0,0,0,7,0,0,0,0,0,,,0,,,0,,,Georgia,CineLe00
2022,2,Andrew Booth,42,CB,2023,0,0,0,1,15,0,0,0,0,0,,,0,,,0,,,Clemson,BootAn00
2022,2,Ed Ingram,59,G,2023,0,0,1,7,26,0,0,0,0,0,,,0,,,0,,,LSU,IngrEd00
2022,3,Brian Asamoah,66,LB,2023,0,0,0,1,23,0,0,0,0,0,,,0,,,0,,,Oklahoma,AsamBr00
2022,4,Akayleb Evans,118,DB,2023,0,0,0,1,19,0,0,0,0,0,,,0,,,0,,,Missouri,EvanAk00
2022,5,Esezi Otomewo,165,DT,2022,0,0,0,0,5,0,0,0,0,0,,,0,,,0,,,Minnesota,OtomEs00
2022,5,Ty Chandler,169,RB,2023,0,0,0,0,12,0,0,0,0,0,14,62,0,5,43,0,,,North Carolina,ChanTy01
2022,6,Vederian Lowe,184,OL,2023,0,0,0,0,10,0,0,0,0,0,,,0,,,0,,,Illinois,LoweVe00
2022,6,Jalen Nailor,191,WR,2023,0,0,0,1,17,0,0,0,0,0,,,0,9,179,1,,,Michigan St.,NailJa00
